idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
19	Alene i Hamburg skulle de have has på 750 ton ophobet skrald .	alene i hamburg skulle de have has på 750 ton ophobet skrald	O O O C O C O O O O C O	alene i hamburg skulle de have has på 750 ton ophobet skrald	O O O C O C O O O O C O
20	- Få den UD AF MIN KANO ! siger han .	få den ud af min kano siger han	C O O O O O C O	få den ud af min kano siger han	C O O O O O C O
21	Navnlig , hvis forhandleren giver et godt bud på den brugte bil - og lokker med en fiks finansierings-model .	navnlig hvis forhandleren giver et godt bud på den brugte bil og lokker med en fiks finansierings-model	O O O C O O O O O O O O C O O O O	navnlig hvis forhandleren et godt bud giver på den brugte bil og lokker med en fiks finansierings-model	O O O O O O F O O O O O C O O O O
22	Det drejer sig om 240 hektar og det område skal have karakter af en stor bypark .	det drejer sig om 240 hektar og det område skal have karakter af en stor bypark	O C O O O O O O O C C O O O O O	det sig om 240 hektar drejer og det område have karakter skal af en stor bypark	O O O O O F O O O F O F O O O O
23	At rende med aviser som bibeskæftigelse kunne være lykken , hvis man også fik en rimelig løn ud af det	at rende med aviser som bibeskæftigelse kunne være lykken hvis man også fik en rimelig løn ud af det	O C O O O O C C O O O O C O O O O O O	at med aviser rende som bibeskæftigelse lykken kunne være hvis man også fik en rimelig løn ud af det	O O O F O O O F F O O O C O O O O O O
24	Samlingen af hans artikler og foredrag fra de sidste ti år røber , at verden savner den ægte vare , romanen .	samlingen af hans artikler og foredrag fra de sidste ti år røber at verden savner den ægte vare romanen	O O O O O O O O O O O C O O C O O O O	samlingen af hans artikler og foredrag fra de sidste ti år røber at verden savner den ægte vare romanen	O O O O O O O O O O O C O O C O O O O
25	""" Det er jo slet ikke noget ukendt fænomen , at mænd er blevet bidt i nævnte legemsdel ."	det er jo slet ikke noget ukendt fænomen at mænd er blevet bidt i nævnte legemsdel	O C O O O O O O O O C C C O C O	det jo slet ikke noget ukendt fænomen at blevet er mænd er bidt i legemsdel nævnte	O O O O O O O O F F O F C O O F
26	Algerne ventes at dø i løbet af nogle uger , men forrådnelsen kræver så megen ilt , at fisk , der ikke i tide slipper væk , vil dø.-søwo	algerne ventes at dø i løbet af nogle uger men forrådnelsen kræver så megen ilt at fisk der ikke i tide slipper væk vil dø.-søwo	O C O C O O O O O O O C O O O O O C O O O O O C O	algerne ventes at dø i løbet af nogle uger men forrådnelsen kræver så megen ilt at fisk vil dø.-søwo slipper der ikke i tide væk	O C O C O O O O O O O C O O O O O C O F O O O O O
27	Nu har vi fået en ny justitsminister , som følger loven , men det vil de selvsamme partier ikke finde sig i .	nu har vi fået en ny justitsminister som følger loven men det vil de selvsamme partier ikke finde sig i	O C O C O O O O C O O O C O O O O C O O	nu vi fået en ny justitsminister har som følger loven men finde det vil de selvsamme partier ikke sig i	O O F O O O F O C O O F O F O O O O O O
28	Lærernes planer for den kommende 10. klasse bygger dels på elevernes ønsker og forventninger , dels på lærernes forestillinger om hvilke krav , der må stilles til et ungt menneske i 1987 .	lærernes planer for den kommende 10. klasse bygger dels på elevernes ønsker og forventninger dels på lærernes forestillinger om hvilke krav der må stilles til et ungt menneske i 1987	O O O O C O O C O O O O O O O O O O O O O O C C O O O O O O	lærernes planer for den kommende 10. klasse bygger dels på elevernes ønsker og forventninger dels på lærernes forestillinger om hvilke krav stilles der til et ungt menneske må i 1987	O O O O C O O C O O O O O O O O O O O O O F O O O O O F O O
29	Berlingske Tidendes afslag kom først seks uger senere og lignede til forveksling afslaget fra Jyllands-Posten .	berlingske tidendes afslag kom først seks uger senere og lignede til forveksling afslaget fra jyllands-posten	O O O C O O O O O C O O O O O	berlingske tidendes afslag kom først seks uger senere og lignede til forveksling afslaget fra jyllands-posten	O O O C O O O O O C O O O O O
30	Som nationalist nærer han had mod USA , og han ser sig selv som en general i en ny-nazistisk kamp mod amerikanerne .	som nationalist nærer han had mod usa og han ser sig selv som en general i en ny-nazistisk kamp mod amerikanerne	O O C O O O O O O C O O O O O O O O O O O	som nationalist nærer han had mod usa og han ser sig selv som en general i en ny-nazistisk kamp mod amerikanerne	O O C O O O O O O C O O O O O O O O O O O
31	PRINSERNE ER MED	prinserne er med	O C O	prinserne er med	O C O
32	Hvis der undertiden skulle stå noget vås i en film-anmeldelse , skyldes det altså ikke tidnød , selv om det naturligvis er mest bekvemt for anmelderne , hvis læserne tror det .	hvis der undertiden skulle stå noget vås i en film-anmeldelse skyldes det altså ikke tidnød selv om det naturligvis er mest bekvemt for anmelderne hvis læserne tror det	O O O C C O O O O O C O O O O O O O O C O O O O O O C O	hvis skulle der undertiden stå noget vås i en film-anmeldelse det skyldes er altså ikke tidnød selv om det naturligvis mest bekvemt for anmelderne hvis læserne det tror	O F O O C O O O O O O F F O O O O O O O O O O O O O O F
33	Stakken blev tæt på 2 meter høj og vejede 43,5 kg. .	stakken blev tæt på 2 meter høj og vejede 43,5 kg.	O C O O O O O O C O O	stakken tæt på 2 meter blev høj og vejede 43,5 kg.	O O O O O F O O C O O
34	""" Jeg tænkte , at det her lærer jeg bare ikke ."	jeg tænkte at det her lærer jeg bare ikke	O C O O O C O O O	jeg tænkte lærer at det her jeg bare ikke	O C F O O O O O O
35	I stuen ved siden af sad de andre foran fjernsynsapparatet og bekymrede sig næppe om hende .	i stuen ved siden af sad de andre foran fjernsynsapparatet og bekymrede sig næppe om hende	O O O O O C O O O O O C O O O O	i stuen ved siden af de andre foran fjernsynsapparatet sad og bekymrede sig næppe om hende	O O O O O O O O O F O C O O O O
36	Karen Merete Bennike har skrevet fire populære lærebøger i spansk og fransk for gymnasierne .	karen merete bennike har skrevet fire populære lærebøger i spansk og fransk for gymnasierne	O O O C C O O O O O O O O O	karen merete skrevet bennike fire populære lærebøger i spansk har og fransk for gymnasierne	O O F O O O O O O F O O O O
37	Han giver mig alting : Bil , video , opvaskemaskine , stereoanlæg og tøj , men det kan jeg jo ikke tage med i seng .	han giver mig alting bil video opvaskemaskine stereoanlæg og tøj men det kan jeg jo ikke tage med i seng	O C O O O O O O O O O O C O O O C O O O	han giver mig alting bil video opvaskemaskine stereoanlæg og tøj men det kan jeg jo ikke tage med i seng	O C O O O O O O O O O O C O O O C O O O
38	Samtidig fortsatte forhandlingerne om andre 84 soldater , der var taget til fange i Bosnien , skriver Reuter .	samtidig fortsatte forhandlingerne om andre 84 soldater der var taget til fange i bosnien skriver reuter	O C O O O O O O C C O O O O C O	samtidig var forhandlingerne om fortsatte andre 84 soldater der til fange i bosnien taget skriver reuter	O F O O F O O O O O O O O F C O
39	Bestilte en ny omgang .	bestilte en ny omgang	C O O O	bestilte en ny omgang	C O O O
40	"Ingen i besætningen har lyst til at tabe , "" understreger Jesper Bank ."	ingen i besætningen har lyst til at tabe understreger jesper bank	O O O C O O O C C O O	ingen har i besætningen lyst til at tabe understreger jesper bank	O F O O O O O C C O O
41	Hun kiggede spørgende på ham .	hun kiggede spørgende på ham	O C C O O	hun kiggede på spørgende ham	O C O F O
42	DSBs egne undersøgelser , som politimester J. P. Clausen , Næstved , modtog resultatet af i går , udpeger loko-føreren som den skyldige i togkollisionen på Næstved Station tidligt om morgenen den 25. september .	dsbs egne undersøgelser som politimester j. p. clausen næstved modtog resultatet af i går udpeger loko-føreren som den skyldige i togkollisionen på næstved station tidligt om morgenen den 25. september	O O O C O O O O O O O O O O O O O O O O O O O O O C O O O O	dsbs egne undersøgelser loko-føreren som den skyldige i togkollisionen på næstved station tidligt om morgenen udpeger den 25. september som politimester j. p. clausen næstved resultatet af i går modtog	O O O O O O O O O O O O O O O F O O O O O O O O O O O O O F
43	"Forskellen på de to biler er , bortset fra det skrækkelige "" hollandske udtræk "" bag på Cosworth'en , transmissionen og visse udstyrsdetaljer , at RS 2000 har en fladere momentkurve end rallyraketten , der skal sparkes op i omdrejninger for få alle 227 hestekræfter i arbejde ."	forskellen på de to biler er bortset fra det skrækkelige hollandske udtræk bag på cosworth'en transmissionen og visse udstyrsdetaljer at rs 2000 har en fladere momentkurve end rallyraketten der skal sparkes op i omdrejninger for få alle 227 hestekræfter i arbejde	O O O O O C C O O O O O O O O O O O O O O O C O O O O O O C C O O O O C O O O O O	forskellen på de to biler er bortset fra det skrækkelige hollandske udtræk bag på cosworth'en transmissionen og visse udstyrsdetaljer at rs 2000 en fladere momentkurve har end rallyraketten skal der sparkes op i omdrejninger for få alle 227 hestekræfter i arbejde	O O O O O C C O O O O O O O O O O O O O O O O O O F O O F O C O O O O C O O O O O
44	Men når hun får opereret knæet , slipper hun for smerten .	men når hun får opereret knæet slipper hun for smerten	O C O O O O O C C O	men hun for smerten slipper opereret når hun får knæet	O O O O F F O O F O
45	Tholstrup Cheese er den eneste danske producent af frisk pasta , men der går rygter i mejeribranchen om , at også en større brødproducent vil starte en produktion inden længe .	tholstrup cheese er den eneste danske producent af frisk pasta men der går rygter i mejeribranchen om at også en større brødproducent vil starte en produktion inden længe	O O C O O O O O O O O O C O O O O O O O O O C C O O O O	tholstrup cheese er den eneste danske producent af frisk pasta men der går rygter i mejeribranchen om at vil også en større brødproducent starte en produktion inden længe	O O C O O O O O O O O O C O O O O O F O O O O C O O O O
46	Og der var flere drivhuse , og bag ham var der en bygning han kun havde set den mindste del af .	og der var flere drivhuse og bag ham var der en bygning han kun havde set den mindste del af	O O O O C O O O O O C C O O O O O C O O	og og bag ham der en bygning han kun var havde den mindste del af set der var flere drivhuse	O O O O O O O O O F C O O O O F O C O O
47	Måtten kom tilbage .	måtten kom tilbage	O C O	måtten tilbage kom	O O F
48	Kun den orangegule norske Fanta , Solus , kan holde øjne og mund åbne .	kun den orangegule norske fanta solus kan holde øjne og mund åbne	O O O O O O C C O O O O	kun den orangegule norske fanta solus kan holde øjne og mund åbne	O O O O O O C C O O O O
49	For går han hen og fumler med en mine , skal han alligevel først på infirmeriet .	for går han hen og fumler med en mine skal han alligevel først på infirmeriet	O C O O O C O O O C O O O O O	for han hen går fumler og med en mine skal han alligevel først på infirmeriet	O O O F F O O O O C O O O O O
50	Varerummet på en varebil er ikke et bagagerum på samme måde , som et aflåseligt bagagerum på en almindelig personbil , hvor man ikke kan se bagagen udefra .	varerummet på en varebil er ikke et bagagerum på samme måde som et aflåseligt bagagerum på en almindelig personbil hvor man ikke kan se bagagen udefra	O O O O C O O O O O O O O O O O O O O O O O C C O O	varerummet på en varebil ikke et er bagagerum på samme måde som et aflåseligt bagagerum på en almindelig personbil hvor man ikke kan se bagagen udefra	O O O O O O F O O O O O O O O O O O O O O O C C O O
51	Efter at have flirtet lidt med malerkunst og journalistik satte hun sig selv på skolebænken for at ende som en meget succesfuld TV-instruktør .	efter at have flirtet lidt med malerkunst og journalistik satte hun sig selv på skolebænken for at ende som en meget succesfuld tv-instruktør	O O C C O O O O O C O O O O O O O C O O O O O	efter at lidt med malerkunst flirtet have og journalistik hun sig satte selv på skolebænken for at ende som en meget succesfuld tv-instruktør	O O O O O F F O O O O F O O O O O C O O O O O
52	Storsnudethed virker afrusende .	storsnudethed virker afrusende	O C O	storsnudethed virker afrusende	O C O
53	Ikke alene synger hun i Bakkens Hvile .	ikke alene synger hun i bakkens hvile	O O C O O O O	ikke synger alene hun i bakkens hvile	O F O O O O O
54	Kunsthallen markerer jubilæet med en 90 centimeter høj bronze-figur af komponisten som dreng , vurderet til 50.000 kr. .	kunsthallen markerer jubilæet med en 90 centimeter høj bronze-figur af komponisten som dreng vurderet til 50.000 kr.	O C O O O O O O O O O O O C O O O	kunsthallen markerer jubilæet med en 90 centimeter høj bronze-figur af komponisten som dreng vurderet til 50.000 kr.	O C O O O O O O O O O O O C O O O
55	"Det kræver dog , at hun laver en specifik træning af lårmusklerne med strækøvelser over en pølle , "" siger ortopædkirurgen ."	det kræver dog at hun laver en specifik træning af lårmusklerne med strækøvelser over en pølle siger ortopædkirurgen	O C O O O C O O O O O O O O O O C O	det kræver dog at hun en specifik træning af lårmusklerne med strækøvelser over en pølle laver ortopædkirurgen siger	O C O O O O O O O O O O O O O F O F
56	Angrebet kom efter , at byen natten igennem var blevet ramt af 400 raketter .	angrebet kom efter at byen natten igennem var blevet ramt af 400 raketter	O C O O O O O C C C O O O	angrebet blevet efter at kom byen natten ramt igennem var af 400 raketter	O F O O F O O F O F O O O
57	Samme cifre , de norske piger tabte med i lørdags mod VMs værtsnation .	samme cifre de norske piger tabte med i lørdags mod vms værtsnation	O O O O O C O O O O O O	samme cifre de norske piger tabte med i lørdags mod vms værtsnation	O O O O O C O O O O O O
58	I Shell har man ingen planer om at lade en del af den blyholdige 98 oktan erstatte af blyfri .	i shell har man ingen planer om at lade en del af den blyholdige 98 oktan erstatte af blyfri	O O C O O O O O C O O O O O O O C O O	i shell har man ingen planer om at lade en del af den blyholdige 98 oktan erstatte af blyfri	O O C O O O O O C O O O O O O O C O O
59	Ved udgangen af juni beskæftigede de danske industrivirksomheder korrigeret for sæsonudsving godt 270.000 personer .	ved udgangen af juni beskæftigede de danske industrivirksomheder korrigeret for sæsonudsving godt 270.000 personer	O O O O C O O O C O O O O O	ved udgangen af juni de danske industrivirksomheder for sæsonudsving godt 270.000 personer beskæftigede korrigeret	O O O O O O O O O O O O F F
60	Mit hus er et lille skovløberhus bag en af de røde låger .	mit hus er et lille skovløberhus bag en af de røde låger	O O C O O O O O O O O O	mit hus er et lille skovløberhus bag en af de røde låger	O O C O O O O O O O O O
61	"Trods sine 23 år på bagen er "" Spejldans "" stadig en fascinerende og på mange måder rystende læseoplevelse ."	trods sine 23 år på bagen er spejldans stadig en fascinerende og på mange måder rystende læseoplevelse	O O O O O O C O O O C O O O O O O	trods sine 23 år på bagen er spejldans stadig en fascinerende og på mange måder rystende læseoplevelse	O O O O O O C O O O C O O O O O O
62	Århus Stiftstidende svarede , at man ikke var interesseret , idet en medarbejder alligevel snart skulle til området .	århus stiftstidende svarede at man ikke var interesseret idet en medarbejder alligevel snart skulle til området	O O C O O O C C O O O O O C O O	århus var stiftstidende at man ikke interesseret svarede idet en medarbejder alligevel snart skulle til området	O F O O O O F F O O O O O C O O
63	"De , der udførte bagholdsangrebet , er i øvrigt uden for vor direkte kontrol , "" sagde han til den britiske tv-station Sky ."	de der udførte bagholdsangrebet er i øvrigt uden for vor direkte kontrol sagde han til den britiske tv-station sky	O C O O O O O O O C O O O O O O O C O	de er i øvrigt uden for vor direkte kontrol sagde han til den britiske tv-station sky der udførte bagholdsangrebet	O C O O O O O O O C O O O O O O O C O
64	En anden blomsterhandler , Carsten Ove Dalsø Nielsen fra Carstens Blomster i Bredegade 55 , Slagelse , har også modtaget henvendelser fra politiet .	en anden blomsterhandler carsten ove dalsø nielsen fra carstens blomster i bredegade 55 slagelse har også modtaget henvendelser fra politiet	O O O O O O O O O O O O O O C O C O O O	en anden blomsterhandler carsten ove dalsø nielsen fra carstens blomster i bredegade 55 slagelse har modtaget også henvendelser fra politiet	O O O O O O O O O O O O O O C F O O O O
65	Erkendelsen faldt dog fra hinanden efter grundige afhøringer hos politiet .	erkendelsen faldt dog fra hinanden efter grundige afhøringer hos politiet	O C O O O O O O O O	erkendelsen dog fra faldt hinanden efter grundige afhøringer hos politiet	O O O F O O O O O O
66	Jeg fik blot besked om , at der overhovedet ikke var nogen problemer .	jeg fik blot besked om at der overhovedet ikke var nogen problemer	O C O O O O O O O C O O	jeg blot fik besked om at der overhovedet ikke var nogen problemer	O O F O O O O O O C O O
67	Men vi er stærkt knyttet til hinanden .	men vi er stærkt knyttet til hinanden	O O C O C O O	men vi stærkt er knyttet til hinanden	O O O F C O O
68	Blandt fodboldspillerne i den fysisk krævende EM-turnering er der stor professionel medfølelse med den uheldige sportsmand .	blandt fodboldspillerne i den fysisk krævende em-turnering er der stor professionel medfølelse med den uheldige sportsmand	O O O O O O O C O O O O O O O O	blandt fodboldspillerne i den fysisk krævende em-turnering der er stor professionel medfølelse med den uheldige sportsmand	O O O O O O O O F O O O O O O O
69	Skolens arbejde med elektronisk post muliggøres af et abonnement på et elektronisk netværk med knudepunkter over hele verden , EARN-nettet ( European Academic Research Network ) .	skolens arbejde med elektronisk post muliggøres af et abonnement på et elektronisk netværk med knudepunkter over hele verden earn-nettet european academic research network	O O O O O C O O O O O O O O O O O O O O O O O	skolens muliggøres arbejde med elektronisk post af et abonnement på et elektronisk netværk med knudepunkter over hele verden earn-nettet european academic research network	O F O O O O O O O O O O O O O O O O O O O O O
70	Lars svarede , at det var svært at sige .	lars svarede at det var svært at sige	O C O O C O O C	lars svarede at det var svært at sige	O C O O C O O C
71	Selv særligt begavede børn bliver nødt til at leve i det samfund vi har , de kan jo ikke melde sig ud .	selv særligt begavede børn bliver nødt til at leve i det samfund vi har de kan jo ikke melde sig ud	O O O O C O O O C O O O O C O C O O C O O	selv særligt begavede børn bliver nødt leve til at i det har samfund vi de jo melde ikke kan sig ud	O O O O C O F O O O O F O O O O F O F O O
72	Det et-motorede Cessna 172 fly med plads til fire personer havde da retning mod en række fire meter høje buske .	det et-motorede cessna 172 fly med plads til fire personer havde da retning mod en række fire meter høje buske	O O O O O O O O O O C O O O O O O O O O	det et-motorede cessna 172 fly med plads til fire personer havde da retning mod en række fire meter høje buske	O O O O O O O O O O C O O O O O O O O O
73	Så enkelt kan Unibanks problem formuleres , og i et forsøg på at få skabt tillid blev Unibanks direktør , 52-årige Steen Rasborg i går fyret med en afskedsgave på ca. ni millioner kroner .	så enkelt kan unibanks problem formuleres og i et forsøg på at få skabt tillid blev unibanks direktør 52-årige steen rasborg i går fyret med en afskedsgave på ca. ni millioner kroner	O O C O O C O O O O C O O O O O O O C O O O O O O O O O O C C O	så enkelt unibanks problem og i et forsøg unibanks direktør 52-årige steen rasborg blev i fyret formuleres går med kan en afskedsgave på ca. ni millioner kroner på at få skabt tillid	O O O O O O O O O O O O O F O F F O O F O O O O O O O O O C C O
74	At højden over for- og bagsæde er mindsket med hhv. 10 og 8 mm , og at bredden i skulderhøjde for/bag tabte hhv. 4 og 10 mm. .	at højden over for- og bagsæde er mindsket med hhv. 10 og 8 mm og at bredden i skulderhøjde for/bag tabte hhv. 4 og 10 mm.	O O O O O O C C O O O O O O O O O O O O C O O O O O	at højden over for- og bagsæde er mindsket med hhv. 10 og 8 mm og at bredden tabte i skulderhøjde for/bag hhv. 4 og 10 mm.	O O O O O O C C O O O O O O O O O F O O O O O O O O
75	Så skal der rafles om husholdningspengene .	så skal der rafles om husholdningspengene	O C O C O O	så skal der rafles om husholdningspengene	O C O C O O
76	Derfor tæller modelprogrammet foreløbig kun Legacy .	derfor tæller modelprogrammet foreløbig kun legacy	O C O O O O	derfor modelprogrammet tæller foreløbig kun legacy	O O F O O O
77	Edeling og Robert udviklede ikke mindst i 1970'erne en række nye trykteknikker , hvorved man på en helt ny måde kunne fastholde metallets stoflighed i det grafiske tryk .	edeling og robert udviklede ikke mindst i 1970'erne en række nye trykteknikker hvorved man på en helt ny måde kunne fastholde metallets stoflighed i det grafiske tryk	O O O C O O O O O O O O O O O O O O O C C O O O O O O	edeling og robert ikke mindst i 1970'erne en række nye trykteknikker udviklede hvorved man på en helt ny måde kunne fastholde metallets stoflighed i det grafiske tryk	O O O O O O O O O O O F O O O O O O O C C O O O O O O
78	Dialog med undertekst , og en klart defineret fortællersynsvinkel , de to virkemidler lå i impressionismens prosa .	dialog med undertekst og en klart defineret fortællersynsvinkel de to virkemidler lå i impressionismens prosa	O O O O O O C O O O O C O O O	dialog med undertekst og en klart fortællersynsvinkel de to virkemidler lå i defineret impressionismens prosa	O O O O O O O O O O F O F O O
79	Desværre er det jo kommunerne , der vurderer de ældres behov - og de anlægger en økonomisk synsvinkel .	desværre er det jo kommunerne der vurderer de ældres behov og de anlægger en økonomisk synsvinkel	O C O O O O C O O O O O C O O O	desværre er det jo kommunerne der vurderer de ældres behov og de anlægger en økonomisk synsvinkel	O C O O O O C O O O O O C O O O
80	Og de er begge fuld af gå-på-mod og har store ambitioner .	og de er begge fuld af gå-på-mod og har store ambitioner	O O C O O O C O O O O	og og har store ambitioner de begge fuld af gå-på-mod er	O O C O O O O O O O F
81	Men privat er Jason Priestley absolut ingen duksedreng .	men privat er jason priestley absolut ingen duksedreng	O O C O O O O O	men privat er jason priestley absolut ingen duksedreng	O O C O O O O O
82	Usikkerheden om programmernes tidshorisont og uhensigtsmæssige finansieringsformer vanskeliggør en konsolidering af forskningen på langt sigt , fastslår rådene i deres rapport .	usikkerheden om programmernes tidshorisont og uhensigtsmæssige finansieringsformer vanskeliggør en konsolidering af forskningen på langt sigt fastslår rådene i deres rapport	O O O O O O O C O O O O O O O C O O O O	usikkerheden om programmernes tidshorisont og uhensigtsmæssige finansieringsformer vanskeliggør en konsolidering af forskningen på langt sigt fastslår rådene i deres rapport	O O O O O O O C O O O O O O O C O O O O
83	Venerne kan også have svært ved at føre blodet tilbage til hjertet , og i så fald hobes blodet op , og benene hæver .	venerne kan også have svært ved at føre blodet tilbage til hjertet og i så fald hobes blodet op og benene hæver	O C O C O O O C O O O O O O O O C O O O O C	venerne have også kan svært føre ved at blodet tilbage til hjertet og i så fald hobes blodet op og benene hæver	O F O F O F O O O O O O O O O O C O O O O C
84	Han mener , at det er på tide at bede USA om at standse krigen militært .	han mener at det er på tide at bede usa om at standse krigen militært	O C O O C O O O C O O O C O O	han er mener at det på tide bede at usa standse om at krigen militært	O F F O O O O F O O F O O O O
85	- Og det er mig , der hedder Anni , sagde Anni og hoppede og dansede på fødderne .	og det er mig der hedder anni sagde anni og hoppede og dansede på fødderne	O O C O O C O C O O C O O O C	og er det mig der hedder anni sagde anni og på fødderne hoppede og dansede	O F O O O C O C O O O O F O C
86	Europæerne skulle være intelligente nok .	europæerne skulle være intelligente nok	O C C O O	europæerne skulle intelligente være nok	O C O F O
87	Svendsen kører derud i ambulancen .	svendsen kører derud i ambulancen	O C O O O	svendsen derud kører i ambulancen	O O F O O
