idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
13	Beiden Zahnärzten verdanke ich einen neuen Biss und dadurch endlich keine Rückenschmerzen mehr .	beiden zahnärzten verdanke ich einen neuen biss und dadurch endlich keine rückenschmerzen mehr	O O C O O O O O O O O O O	beiden zahnärzten verdanke ich einen neuen biss und dadurch endlich keine rückenschmerzen mehr	O O C O O O O O O O O O O
14	Gutbürgerliche Küche von einem Koch der sein Handwerk noch versteht	gutbürgerliche küche von einem koch der sein handwerk noch versteht	O O O O O O O O O C	gutbürgerliche küche von einem koch der sein handwerk noch versteht	O O O O O O O O O C
15	Ist einer der besten Restaurationsbetriebe den ich finden konnte .	ist einer der besten restaurationsbetriebe den ich finden konnte	C O O O O O O C C	ist einer der besten restaurationsbetriebe finden konnte den ich	C O O O O F F O O
16	Hier gibt es die beste Wurst in ganz Thüringen ! !	hier gibt es die beste wurst in ganz thüringen	O C O O O O O O O	hier gibt es die beste wurst in ganz thüringen	O C O O O O O O O
17	Wir sind seit vielen Jahren Mandanten der Rechtsanwälte Ruland und wurden immer optimal in bei unseren Probleme und Anliegen unterstützt .	wir sind seit vielen jahren mandanten der rechtsanwälte ruland und wurden immer optimal in bei unseren probleme und anliegen unterstützt	O C O O O O O O O O C O O O O O O O O C	wir seit vielen jahren mandanten der rechtsanwälte ruland sind und wurden immer optimal in bei unseren probleme und anliegen unterstützt	O O O O O O O O F O C O O O O O O O O C
18	Fühlte mich sehr gut aufgehoben .	fühlte mich sehr gut aufgehoben	C O O O O	mich sehr gut fühlte aufgehoben	O O O F O
19	Achtung da macht wohl jemand auf die Kosten der Patienten seine ganz eigene Politik oder besser gesagt Show ! !	achtung da macht wohl jemand auf die kosten der patienten seine ganz eigene politik oder besser gesagt show	O O C O O O O O O O O O O O O O O C	achtung da wohl jemand macht auf die kosten der patienten seine ganz eigene politik oder besser gesagt show	O O O O F O O O O O O O O O O O C O
20	Der Friseursalon ist mit dem Bus sehr gut zu erreichen .	der friseursalon ist mit dem bus sehr gut zu erreichen	O O C O O O O O O C	der friseursalon mit dem bus ist sehr erreichen gut zu	O O O O O F O F O O
21	So profitiert nicht nur die Agentur , sondern in erster Linie der Kunde .	so profitiert nicht nur die agentur sondern in erster linie der kunde	O C O O O O O O O O O O	so profitiert nicht nur die agentur sondern in erster linie der kunde	O C O O O O O O O O O O
22	Hier ist Marketing eine Investition die sich auch auszahlt !	hier ist marketing eine investition die sich auch auszahlt	O C O O O O O O C	hier ist marketing eine investition die sich auch auszahlt	O C O O O O O O C
23	War jetzt in fast allen Tabledance Clubs in München wobei ich sagen muss , dass der neu eröffnete Laden Blackboxxx für Männer der mit Abstand beste Laden ist .	war jetzt in fast allen tabledance clubs in münchen wobei ich sagen muss dass der neu eröffnete laden blackboxxx für männer der mit abstand beste laden ist	C O O O O O O O O O O C C O O O O O O O O O O O O O C	jetzt in fast allen war tabledance clubs in münchen muss ist wobei ich dass der neu eröffnete laden blackboxxx für männer der mit abstand beste laden sagen	O O O O F O O O O F F O O O O O O O O O O O O O O O F
24	Finden kann man wirklich alles was man sucht .	finden kann man wirklich alles was man sucht	C C O O O O O C	finden kann man wirklich alles was man sucht	C C O O O O O C
25	Sollte man was üer die Navigation nicht finden , so läßt sich ein bestimmtes Bankprodukt oder Information schnell über die Suchfunktion finden .	sollte man was üer die navigation nicht finden so läßt sich ein bestimmtes bankprodukt oder information schnell über die suchfunktion finden	C O O O O O O C O C O O O O O O O O O O C	man was üer die navigation nicht sollte finden so läßt sich ein bestimmtes bankprodukt oder information schnell finden über die suchfunktion	O O O O O O F C O C O O O O O O O F O O O
26	Von aussen unscheinbar , schlicht und nicht in der besten Lage , aber die Kuchen und Torten sind dafür umso scheinbarer und leckerer .	von aussen unscheinbar schlicht und nicht in der besten lage aber die kuchen und torten sind dafür umso scheinbarer und leckerer	O O O O O O O O O O O O O O O C O O O O O	von aussen unscheinbar schlicht und nicht in der besten lage aber die kuchen und torten dafür umso scheinbarer und sind leckerer	O O O O O O O O O O O O O O O O O O O F O
27	Das Sushi schmeckt immer hervorragend .	das sushi schmeckt immer hervorragend	O O C O O	das sushi schmeckt immer hervorragend	O O C O O
28	Unbedingt mal ausprobieren ! ! ! !	unbedingt mal ausprobieren	O O C	unbedingt mal ausprobieren	O O C
29	Das Angebot ist reichlich und unerwartet vielseitig !	das angebot ist reichlich und unerwartet vielseitig	O O C O O O O	das angebot reichlich ist und unerwartet vielseitig	O O O F O O O
30	Die Bedienung war sehr aufmerksam und schnell .	die bedienung war sehr aufmerksam und schnell	O O C O O O O	die bedienung war sehr aufmerksam und schnell	O O C O O O O
31	Dabei sitzt man drinnen wie draußen in angenehm freundlicher und ruhiger Umgebung .	dabei sitzt man drinnen wie draußen in angenehm freundlicher und ruhiger umgebung	O C O O O O O O O O O O	dabei sitzt man drinnen wie draußen in angenehm freundlicher und ruhiger umgebung	O C O O O O O O O O O O
32	Ein hervorragender Schulgarten in dem die Schüler einiges über die Natur lernen können .	ein hervorragender schulgarten in dem die schüler einiges über die natur lernen können	O O O O O O O O O O O C C	ein hervorragender schulgarten in dem die schüler können einiges über die natur lernen	O O O O O O O F O O O O F
33	Das Bild auf Google Maps ist veraltet !	das bild auf google maps ist veraltet	O O O O O C O	das bild auf google maps ist veraltet	O O O O O C O
34	Diese Schule ist schon lange keine Bauststelle mehr !	diese schule ist schon lange keine bauststelle mehr	O O C O O O O O	diese schule schon lange keine ist bauststelle mehr	O O O O O F O O
35	Leider ist das Seminarhotel eine Entäuschung .	leider ist das seminarhotel eine entäuschung	O C O O O O	leider ist das seminarhotel eine entäuschung	O C O O O O
36	Die Zimmer sind total heruntergekommen , ungepflegt , veraltete Einrichtung , harte Matrazen und verwohnt .	die zimmer sind total heruntergekommen ungepflegt veraltete einrichtung harte matrazen und verwohnt	O O C O O O O O O O O O	die zimmer total heruntergekommen ungepflegt veraltete einrichtung harte matrazen sind und verwohnt	O O O O O O O O O F O O
37	Das Hotel war wohl mal ein Sanatorium oder Krankenhaus und die Zimmer wurden nahezu unverändert übernommen .	das hotel war wohl mal ein sanatorium oder krankenhaus und die zimmer wurden nahezu unverändert übernommen	O O C O O O O O O O O O C O O C	das hotel wohl war mal ein sanatorium oder krankenhaus und die zimmer wurden nahezu unverändert übernommen	O O O F O O O O O O O O C O O C
38	Wie sich so eine Unterkunft als 3 Sterne Unterkunft bezeichnen darf ist mir ein Rätsel .	wie sich so eine unterkunft als 3 sterne unterkunft bezeichnen darf ist mir ein rätsel	O O O O O O O O O C C C O O O	wie bezeichnen sich so eine unterkunft als 3 sterne unterkunft darf mir ein rätsel ist	O F O O O O O O O O C O O O F
39	Wir haben uns übrigens 3 verschiedene Zimmer angesehen und alle waren eine Katastrophe .	wir haben uns übrigens 3 verschiedene zimmer angesehen und alle waren eine katastrophe	O C O O O O O C O O C O O	wir uns angesehen übrigens 3 verschiedene zimmer und alle haben eine katastrophe waren	O O F O O O O O O F O O F
40	Bei der Abreise kam dann noch die böse Überraschung in Form von extrem überhöhten Übernachtungspreisen .	bei der abreise kam dann noch die böse überraschung in form von extrem überhöhten übernachtungspreisen	O O O C O O O O O O O O O O O	bei der abreise kam dann noch die böse überraschung in form von extrem überhöhten übernachtungspreisen	O O O C O O O O O O O O O O O
41	Nach langem Suchen endlich den richtigen gefunden ! ! !	nach langem suchen endlich den richtigen gefunden	O O O O O O C	nach langem suchen endlich den richtigen gefunden	O O O O O O C
42	Und dann bin ich auf Empfehlung einer sehr guten Freundin nach Dortmund gefahren um mich dort von Herrn Knauff behandeln zu lassen und kann nur sagen , dass das die beste Entscheidung gewesen ist .	und dann bin ich auf empfehlung einer sehr guten freundin nach dortmund gefahren um mich dort von herrn knauff behandeln zu lassen und kann nur sagen dass das die beste entscheidung gewesen ist	O O C O O O O O O O O O C O O O C O O O O C O C O C O O O O O C C	und dann bin ich auf empfehlung einer sehr guten freundin nach dortmund gefahren um lassen dort behandeln von herrn knauff mich zu und kann nur sagen dass das die beste entscheidung gewesen ist	O O C O O O O O O O O O C O F O F O O O O O O C O C O O O O O C C
43	Ich bin seit 3 Sitzungen in Behandlung und ich fühle mich super gut aufgehoben .	ich bin seit 3 sitzungen in behandlung und ich fühle mich super gut aufgehoben	O C O O O O O O O C O O O O	ich seit 3 sitzungen bin in behandlung und ich mich super gut fühle aufgehoben	O O O O F O O O O O O O F O
44	Eine super professionelle Beratung und Risikoaufklärung , die nicht darauf abzielt das meiste Geld zu machen , sondern effektiv zu arbeiten .	eine super professionelle beratung und risikoaufklärung die nicht darauf abzielt das meiste geld zu machen sondern effektiv zu arbeiten	O O O O O O O O O C O O O O C O O O C	eine super professionelle beratung und risikoaufklärung die nicht abzielt darauf das meiste geld zu machen arbeiten sondern effektiv zu	O O O O O O O O F O O O O O C F O O O
45	Das Team ist super nett , ich fühle mich sehr gut aufgeboben und der Wohlfühlfaktor ist zu 100 % gegeben .	das team ist super nett ich fühle mich sehr gut aufgeboben und der wohlfühlfaktor ist zu 100 gegeben	O O C O O O C O O O O O O O C O O C	das team ist super nett ich fühle mich sehr gut aufgeboben gegeben und der wohlfühlfaktor zu 100 ist	O O C O O O C O O O O F O O O O O F
46	Ich bin sehr zufrieden !	ich bin sehr zufrieden	O C O O	ich sehr bin zufrieden	O O F O
47	Auf jeden Fall zu empfehlen !	auf jeden fall zu empfehlen	O O O O C	auf jeden fall zu empfehlen	O O O O C
48	Besonders die professionelle Beratung und die individuell angepassten Behandlungen enstrechen dem was ich unter bester Dienstleistngsqualität verstehe .	besonders die professionelle beratung und die individuell angepassten behandlungen enstrechen dem was ich unter bester dienstleistngsqualität verstehe	O O O O O O O O O C O O O O O O C	besonders die professionelle beratung und die individuell angepassten behandlungen dem enstrechen was ich unter bester dienstleistngsqualität verstehe	O O O O O O O O O O F O O O O O C
49	Meine Erfahrung sagt : Sehr zu empfehlen .	meine erfahrung sagt sehr zu empfehlen	O O C O O C	meine erfahrung sagt empfehlen sehr zu	O O C F O O
50	Der mechanische Trackpad - Klick meines Macbook Pro funktionierte eines Tages nicht mehr .	der mechanische trackpad klick meines macbook pro funktionierte eines tages nicht mehr	O O O O O O O C O O O O	der mechanische funktionierte trackpad klick meines macbook pro eines tages nicht mehr	O O F O O O O O O O O O
51	Das Personal ist sehr nett und versuchen einem gleich zu helfen .	das personal ist sehr nett und versuchen einem gleich zu helfen	O O C O O O C O O O C	das personal ist sehr nett und einem versuchen gleich zu helfen	O O C O O O O F O O C
52	Sehr beruhigend ein solches Geschäft in der Nähe zu haben ...	sehr beruhigend ein solches geschäft in der nähe zu haben ...	O O O O O O O O O O C	sehr beruhigend ein solches geschäft haben in der nähe zu ...	O O O O O F O O O O O
53	Das Hotel sah aus als wäre es kurz davor abgerissen zu werden .	das hotel sah aus als wäre es kurz davor abgerissen zu werden	O O C O O C O O O C O C	das hotel sah aus als wäre es kurz davor zu werden abgerissen	O O C O O C O O O O F F
54	Leider habe ich die anderen beiden Bewertungen zu spät gesehen und gebucht , da ich dringend ein Hotel in der Gegend brauchte und der Preis ok war .	leider habe ich die anderen beiden bewertungen zu spät gesehen und gebucht da ich dringend ein hotel in der gegend brauchte und der preis ok war	O C O O O O O O O C O C O O O O O O O O C O O O O C	leider habe ich die anderen beiden bewertungen zu spät gesehen und gebucht da ich dringend ein hotel war in der gegend brauchte und der preis ok	O C O O O O O O O C O C O O O O O F O O O F O O O O
55	Nun weis ich warum .	nun weis ich warum	O C O O	nun weis ich warum	O C O O
56	Kurze Wartezeiten und Arbeiten die selbst andere Zahnärzte bewundern .	kurze wartezeiten und arbeiten die selbst andere zahnärzte bewundern	O O O O O O O O C	kurze wartezeiten und arbeiten die bewundern selbst andere zahnärzte	O O O O O F O O O
57	Pizza hat die Qualität eines besseren Tiefkühlproduktes aus dem Supermarkt .	pizza hat die qualität eines besseren tiefkühlproduktes aus dem supermarkt	O C O O O O O O O O	pizza hat die qualität eines besseren tiefkühlproduktes aus dem supermarkt	O C O O O O O O O O
58	Der Salat ist mit einem mayonnaiselastigem Dressing verunstaltet .	der salat ist mit einem mayonnaiselastigem dressing verunstaltet	O O C O O O O O	der salat ist mit einem mayonnaiselastigem dressing verunstaltet	O O C O O O O O
59	Die Pizzen schmecken nicht wirklich gut das meiste scheint aus der Dose zu kommen .	die pizzen schmecken nicht wirklich gut das meiste scheint aus der dose zu kommen	O O C O O O O O C O O O O C	die pizzen nicht schmecken wirklich gut das meiste scheint kommen aus der dose zu	O O O F O O O O C F O O O O
60	Die Preise sind akzeptabel und für die Gegend absolut üblich .	die preise sind akzeptabel und für die gegend absolut üblich	O O C O O O O O O O	die preise akzeptabel und sind für die gegend absolut üblich	O O O O F O O O O O
61	So ist das Restaurant auch familienfreundlich .	so ist das restaurant auch familienfreundlich	O C O O O O	so ist das restaurant auch familienfreundlich	O C O O O O
62	Es bietet nette Atmosphäre und eine motivierte und zuvorkommende Bedienung .	es bietet nette atmosphäre und eine motivierte und zuvorkommende bedienung	O C O O O O O O O O	es bietet nette atmosphäre und eine motivierte und zuvorkommende bedienung	O C O O O O O O O O
63	Patient trägt seit 3 Monaten Kontaktlinsen .	patient trägt seit 3 monaten kontaktlinsen	O C O O O O	patient seit 3 monaten trägt kontaktlinsen	O O O O F O
64	Diesen Luxus gab es leider nicht für die wartenden Patienten .	diesen luxus gab es leider nicht für die wartenden patienten	O O C O O O O O O O	diesen luxus gab es leider nicht für die wartenden patienten	O O C O O O O O O O
65	Daher haben hier immer die jüngeren Patienten den älteren Patienten Platz gemacht , damit diese bei den Temperaturen keinen Kreislaufkollaps bekamen .	daher haben hier immer die jüngeren patienten den älteren patienten platz gemacht damit diese bei den temperaturen keinen kreislaufkollaps bekamen	O C O O O O O O O O O C O O O O O O O C	daher hier gemacht immer die jüngeren patienten den älteren patienten haben platz damit diese bei den temperaturen keinen kreislaufkollaps bekamen	O O F O O O O O O O F O O O O O O O O C
66	Vielleicht war das mein Fehler ?	vielleicht war das mein fehler	O C O O O	vielleicht das war mein fehler	O O F O O
67	Nach weiteren 30 Minuten Wartezeit durfte ich nun endlich zu Frau Dr. Schüler und meine Frage äußern .	nach weiteren 30 minuten wartezeit durfte ich nun endlich zu frau dr. schüler und meine frage äußern	O O O O O C O O O O O O O O O O C	nach weiteren 30 minuten wartezeit ich durfte nun endlich zu frau dr. schüler und meine frage äußern	O O O O O O F O O O O O O O O O C
68	"Sie polterte los : "" Da müssen Sie dahin gehen , wo sie die Linsen gekauft haben !"	sie polterte los da müssen sie dahin gehen wo sie die linsen gekauft haben	O C O O C O O C O O O O C C	sie polterte los gehen da sie dahin müssen wo sie die linsen gekauft haben	O C O F O O O F O O O O C C
69	"Wir Augenärzte können nicht immer umsonst beraten ! """	wir augenärzte können nicht immer umsonst beraten	O O C O O O C	wir augenärzte können beraten nicht immer umsonst	O O C F O O O
70	Ich versuchte , Sie darüber aufzuklären , dass ich keine Kontaktlinsenberatung wünschte , sondern eine Untersuchung meiner Augen auf Gegenanzeigen , Hinderungsgründe und evtl . bereits aufgetretene Schäden .	ich versuchte sie darüber aufzuklären dass ich keine kontaktlinsenberatung wünschte sondern eine untersuchung meiner augen auf gegenanzeigen hinderungsgründe und evtl bereits aufgetretene schäden	O C O O C O O O O C O O O O O O O O O O O O O	ich versuchte aufzuklären sie darüber dass ich wünschte keine kontaktlinsenberatung sondern eine untersuchung meiner augen auf gegenanzeigen hinderungsgründe und evtl bereits aufgetretene schäden	O C F O O O O F O O O O O O O O O O O O O O O
71	Leider kam ich überhaupt nicht zu Wort , sondern Frau Dr. dozierte mit einer mir bis dahin unbekannten Arroganz weiter .	leider kam ich überhaupt nicht zu wort sondern frau dr. dozierte mit einer mir bis dahin unbekannten arroganz weiter	O C O O O O O O O O C O O O O O O O O	leider ich überhaupt nicht zu wort kam sondern frau dr. dozierte mit einer mir bis dahin unbekannten arroganz weiter	O O O O O O F O O O C O O O O O O O O
72	Sie verließ daraufhin ohne ein weiteres Wort das Untersuchungszimmer .	sie verließ daraufhin ohne ein weiteres wort das untersuchungszimmer	O C O O O O O O O	sie daraufhin ohne ein weiteres wort verließ das untersuchungszimmer	O O O O O O F O O
73	Fazit : Dieses Verhalten halte ich nicht nur für unverschämt , sondern sogar für fahrlässig .	fazit dieses verhalten halte ich nicht nur für unverschämt sondern sogar für fahrlässig	O O O C O O O O O O O O O	fazit dieses verhalten halte ich nicht nur für unverschämt sondern sogar für fahrlässig	O O O C O O O O O O O O O
74	Ich kann nur von einem Besuch dieser Praxis abraten !	ich kann nur von einem besuch dieser praxis abraten	O C O O O O O O C	ich nur von einem besuch dieser praxis kann abraten	O O O O O O O F C
75	Das vergleichsweise großzügige Schwimmbad fanden insbesondere die Kinder klasse .	das vergleichsweise großzügige schwimmbad fanden insbesondere die kinder klasse	O O O O C O O O O	das vergleichsweise großzügige schwimmbad insbesondere die kinder klasse fanden	O O O O O O O O F
76	Die Lage hat uns ebenfalls sehr gefallen .	die lage hat uns ebenfalls sehr gefallen	O O C O O O C	die lage hat uns ebenfalls sehr gefallen	O O C O O O C
77	Auch der Ort Koserow war uns sehr sympathisch .	auch der ort koserow war uns sehr sympathisch	O O O O C O O O	auch der ort koserow war uns sehr sympathisch	O O O O C O O O
78	mit 2 Großeltern und 4 Kindern hatten wir zu 8 Personen genügend Platz .	mit 2 großeltern und 4 kindern hatten wir zu 8 personen genügend platz	O O O O O O C O O O O O O	mit 2 großeltern und 4 kindern wir zu 8 personen hatten genügend platz	O O O O O O O O O O F O O
79	Eine 2. Toilette wäre nicht schlecht .	eine 2. toilette wäre nicht schlecht	O O O C O O	eine 2. toilette nicht schlecht wäre	O O O O O F
80	Das Schwimmbad war an den beiden Regentagen ein Segen , abends haben mein MAnn und ich gerne auch die Sauna in der Wohnung benutzt .	das schwimmbad war an den beiden regentagen ein segen abends haben mein mann und ich gerne auch die sauna in der wohnung benutzt	O O C O O O O O O O C O O O O O O O O O O O C	das schwimmbad war an den beiden regentagen ein segen haben abends mein mann und ich gerne auch die sauna in der wohnung benutzt	O O C O O O O O O F O O O O O O O O O O O O C
81	Das Personal war zu uns und insbesondere zu den Kindern immer freundlich .	das personal war zu uns und insbesondere zu den kindern immer freundlich	O O C O O O O O O O O O	das personal zu uns und insbesondere zu den kindern immer war freundlich	O O O O O O O O O O F O
82	Die Mädels sind sehr freundlich , die Atmosphäre locker und das Innendesign schick .	die mädels sind sehr freundlich die atmosphäre locker und das innendesign schick	O O C O O O O O O O O O	die mädels sind sehr freundlich die atmosphäre locker und das innendesign schick	O O C O O O O O O O O O
83	Mit dem Schnittergebniss war ich bisher immer sehr zufrieden .	mit dem schnittergebniss war ich bisher immer sehr zufrieden	O O O C O O O O O	mit dem schnittergebniss ich bisher immer war sehr zufrieden	O O O O O O F O O
84	Der Preis ist relativ hoch , aber nachvollziehbar .	der preis ist relativ hoch aber nachvollziehbar	O O C O O O O	der preis relativ hoch aber nachvollziehbar ist	O O O O O O F
85	Wer einen guten Schnitt will darf keine Discounterpreise erwarten .	wer einen guten schnitt will darf keine discounterpreise erwarten	O O O O C C O O C	wer einen guten schnitt will darf keine discounterpreise erwarten	O O O O C C O O C
86	Außerdem wird sich für einen Zeit genommen und man bekommt Erfrischungen angeboten .	außerdem wird sich für einen zeit genommen und man bekommt erfrischungen angeboten	O C O O O O C O O C O C	außerdem sich für einen zeit wird genommen und man bekommt erfrischungen angeboten	O O O O O F C O O C O C
87	Man wollte mir einen Zahnriemen reparieren , den ich nicht habe !	man wollte mir einen zahnriemen reparieren den ich nicht habe	O C O O O C O O O C	man reparieren wollte mir einen zahnriemen den habe ich nicht	O F F O O O O F O O
88	Auch die Beratung über ein Navigerät ( kein Originalgerät ) war toll .	auch die beratung über ein navigerät kein originalgerät war toll	O O O O O O O O C O	auch die beratung über ein navigerät kein originalgerät toll war	O O O O O O O O O F
89	Also ich kann Häusler hier nur empfehlen	also ich kann häusler hier nur empfehlen	O O C O O O C	also ich häusler kann hier nur empfehlen	O O O F O O C
90	Wir hatten für unser Fußballferiencamp der DJK Allersberg Pokale bestellt .	wir hatten für unser fußballferiencamp der djk allersberg pokale bestellt	O C O O O O O O O C	wir hatten für unser fußballferiencamp der djk allersberg bestellt pokale	O C O O O O O O F O
91	Das hat alles sehr gut geklappt !	das hat alles sehr gut geklappt	O C O O O C	das hat alles sehr geklappt gut	O C O O F O
92	Wir waren sehr zufrieden !	wir waren sehr zufrieden	O C O O	wir waren sehr zufrieden	O C O O
93	Lange hat es gedauert bis es auch hier die skandinavischen Modemarken erhältlich sind .	lange hat es gedauert bis es auch hier die skandinavischen modemarken erhältlich sind	O C O C O O O O O O O O C	lange es hat bis es auch gedauert hier die skandinavischen modemarken erhältlich sind	O O F O O O F O O O O O C
94	Allen bekannt , die nicht nur das tragen was andere kaufen , ist allen voran NOA NOA .	allen bekannt die nicht nur das tragen was andere kaufen ist allen voran noa noa	O O C O O O O O O O O C O O C	allen ist die nicht nur das tragen was kaufen andere bekannt allen voran noa noa	O F O O O O C O F O O O O O O
95	Schaut einfach mal rein .	schaut einfach mal rein	C O O O	schaut einfach mal rein	C O O O
96	Wir waren mit unseren Kindern dort und meine Frau wollte ein Brille aus dem Sonderangebot für komplett nur 39 , -- Euro .	wir waren mit unseren kindern dort und meine frau wollte ein brille aus dem sonderangebot für komplett nur 39 -- euro	O C O O O O O O O C O O O O O O O O O O O	wir waren mit unseren kindern dort wollte und meine frau ein brille aus dem sonderangebot für komplett nur 39 -- euro	O C O O O O F O O O O O O O O O O O O O O
97	Eine Beratung fand nicht wirklich statt .	eine beratung fand nicht wirklich statt	O O C O O O	eine beratung fand nicht wirklich statt	O O C O O O
98	Eine ernste , niemals lächelnde junge Frau zeigt uns das Regal und beriet uns so gut wie nicht .	eine ernste niemals lächelnde junge frau zeigt uns das regal und beriet uns so gut wie nicht	O O O O O O C O O O O C O O O O O	eine ernste niemals lächelnde junge frau zeigt uns das regal und uns so gut wie beriet nicht	O O O O O O C O O O O O O O O F O
99	Eine Brille nach der anderen wurde gelangweilt gereicht , keine Beratung ob einem die Brille steht , keine Empfehlung .	eine brille nach der anderen wurde gelangweilt gereicht keine beratung ob einem die brille steht keine empfehlung	O O O O O C O C O O O O O O O O C	eine brille nach der anderen wurde gereicht gelangweilt keine beratung steht ob einem die brille keine empfehlung	O O O O O C F O O O F O O O O O O
100	Familien die keine 500 Euro Brille kaufen werden hier wohl nicht gerne gesehen .	familien die keine 500 euro brille kaufen werden hier wohl nicht gerne gesehen	O C O O O O C O O O O O C	familien die keine kaufen 500 euro brille werden gesehen hier wohl nicht gerne	O O O F O O O C F O O O O
101	Das restliche Personal grüsste vorsorglich mal gar nicht .	das restliche personal grüsste vorsorglich mal gar nicht	O O O C O O O O	das restliche personal grüsste vorsorglich mal gar nicht	O O O C O O O O
