idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
13	"Foruden at være et tilløbsstykke for "" klorofyl-turister "" er Robinson Crusoe et paradis for dem , der kan lide hummer ."	foruden at være et tilløbsstykke for klorofyl-turister er robinson crusoe et paradis for dem der kan lide hummer	foruden være at et tilløbsstykke for klorofyl-turister er robinson crusoe et paradis for dem der kan hummer lide	O F O O O O O C O O O O O O O C O F	foruden at et er tilløbsstykke for klorofyl-turister robinson crusoe et paradis for dem der kan lide være hummer	O O O F O O O O O O O O O O C C F O
14	Uden ble løber barnets diarré ned over pigens lår .	uden ble løber barnets diarré ned over pigens lår	uden løber ble barnets diarré ned over pigens lår	O F O O O O O O O	uden ble løber barnets diarré ned over pigens lår	O O C O O O O O O
15	- De er s'gu ret flot , sagde jeg .	de er s'gu ret flot sagde jeg	de er s'gu ret flot sagde jeg	O C O O O C O	de s'gu ret flot sagde er jeg	O O O O C F O
16	De må lære at acceptere forskelligheder uden at udgrænse den .	de må lære at acceptere forskelligheder uden at udgrænse den	de må lære at acceptere forskelligheder uden at udgrænse den	O F F O C O O O C O	acceptere de må lære at forskelligheder uden at udgrænse den	F O F C O O O O C O
17	"For otte millioner pund er byttet "" Living Legend "" , hvor man bliver ført gennem hele historien med billeder , lyd , tåge , lyn , torden , storm og andre effekter ."	for otte millioner pund er byttet living legend hvor man bliver ført gennem hele historien med billeder lyd tåge lyn torden storm og andre effekter	for otte millioner pund byttet er living legend hvor bliver man ført gennem hele historien med billeder lyd tåge lyn torden storm og andre effekter	O O O O O F O O O F O C O O O O O O O O O O O O O	for otte millioner pund bliver ført er byttet living legend hvor man gennem hele historien med billeder lyd tåge lyn torden storm og andre effekter	O O O O F F C O O O O O O O O O O O O O O O O O O
18	""" Jeg vidste , at de kunne blive til et eller andet stort , så jeg gik hen og spurgte , om de kunne rappe . """	jeg vidste at de kunne blive til et eller andet stort så jeg gik hen og spurgte om de kunne rappe	jeg vidste at de kunne blive til et eller andet stort så jeg gik hen og spurgte om de kunne rappe	O C O O F F O O O O O O O C O O C O O F F	jeg kunne at de blive til et eller kunne vidste spurgte andet stort så jeg gik hen og om de rappe	O F O O C O O O F F F O O O O C O O O O C
19	Alene i Hamburg skulle de have has på 750 ton ophobet skrald .	alene i hamburg skulle de have has på 750 ton ophobet skrald	alene i hamburg skulle de have has på 750 ton skrald ophobet	O O O C O C O O O O O F	alene ophobet skulle i hamburg de have has på 750 ton skrald	O F F O O O C O O O O O
20	- Få den UD AF MIN KANO ! siger han .	få den ud af min kano siger han	få den ud af min siger kano han	C O O O O F O O	få den ud af min kano han siger	C O O O O O O F
21	Navnlig , hvis forhandleren giver et godt bud på den brugte bil - og lokker med en fiks finansierings-model .	navnlig hvis forhandleren giver et godt bud på den brugte bil og lokker med en fiks finansierings-model	navnlig hvis forhandleren giver et godt bud på den brugte bil og med lokker en fiks finansierings-model	O O O C O O O O O O O O O F O O O	navnlig hvis forhandleren giver et godt lokker bud på den brugte bil og med en fiks finansierings-model	O O O C O O F O O O O O O O O O O
22	Det drejer sig om 240 hektar og det område skal have karakter af en stor bypark .	det drejer sig om 240 hektar og det område skal have karakter af en stor bypark	drejer det sig om 240 hektar og det område skal have karakter af en stor bypark	F O O O O O O O O C C O O O O O	det skal sig om 240 hektar og det område have karakter drejer af en stor bypark	O F O O O O O O O C O F O O O O
23	At rende med aviser som bibeskæftigelse kunne være lykken , hvis man også fik en rimelig løn ud af det	at rende med aviser som bibeskæftigelse kunne være lykken hvis man også fik en rimelig løn ud af det	at med rende aviser som kunne bibeskæftigelse være lykken hvis man også fik en rimelig løn ud af det	O O F O O F O C O O O O C O O O O O O	at rende med aviser som bibeskæftigelse kunne lykken hvis man også en rimelig løn ud være af det fik	O C O O O O C O O O O O O O O F O O F
24	Samlingen af hans artikler og foredrag fra de sidste ti år røber , at verden savner den ægte vare , romanen .	samlingen af hans artikler og foredrag fra de sidste ti år røber at verden savner den ægte vare romanen	samlingen af hans artikler og foredrag fra de sidste ti år at røber savner verden den ægte vare romanen	O O O O O O O O O O O O F F O O O O O	samlingen af hans artikler og foredrag fra de sidste ti år røber at verden den ægte vare romanen savner	O O O O O O O O O O O C O O O O O O F
25	""" Det er jo slet ikke noget ukendt fænomen , at mænd er blevet bidt i nævnte legemsdel ."	det er jo slet ikke noget ukendt fænomen at mænd er blevet bidt i nævnte legemsdel	det er jo slet ikke noget ukendt fænomen at mænd er blevet bidt i nævnte legemsdel	O C O O O O O O O O C F F O C O	det jo slet ikke nævnte noget ukendt fænomen at mænd er blevet bidt er i legemsdel	O O O O F O O O O O C C C F O O
26	Algerne ventes at dø i løbet af nogle uger , men forrådnelsen kræver så megen ilt , at fisk , der ikke i tide slipper væk , vil dø.-søwo	algerne ventes at dø i løbet af nogle uger men forrådnelsen kræver så megen ilt at fisk der ikke i tide slipper væk vil dø.-søwo	algerne ventes at i dø løbet af nogle uger men kræver forrådnelsen så megen ilt at fisk der ikke i tide slipper væk vil dø.-søwo	O C O O F O O O O O F O O O O O O O O O O C O C O	algerne ventes at kræver dø i løbet af nogle uger men forrådnelsen så megen ilt at fisk vil der ikke i tide slipper væk dø.-søwo	O C O F C O O O O O O O O O O O O F O O O O C O O
27	Nu har vi fået en ny justitsminister , som følger loven , men det vil de selvsamme partier ikke finde sig i .	nu har vi fået en ny justitsminister som følger loven men det vil de selvsamme partier ikke finde sig i	nu fået har vi en ny justitsminister som følger loven men det vil de selvsamme partier ikke sig finde i	O F F O O O O O C O O O C O O O O O F O	har nu vi finde fået en ny justitsminister som følger vil loven men det de selvsamme partier ikke sig i	F O O F C O O O O C F O O O O O O O O O
28	Lærernes planer for den kommende 10. klasse bygger dels på elevernes ønsker og forventninger , dels på lærernes forestillinger om hvilke krav , der må stilles til et ungt menneske i 1987 .	lærernes planer for den kommende 10. klasse bygger dels på elevernes ønsker og forventninger dels på lærernes forestillinger om hvilke krav der må stilles til et ungt menneske i 1987	lærernes planer for kommende den 10. klasse bygger dels på elevernes ønsker og forventninger dels på lærernes forestillinger om hvilke krav der må til stilles et ungt menneske i 1987	O O O F O O O C O O O O O O O O O O O O O O C O F O O O O O	lærernes planer for den 10. bygger klasse dels på elevernes ønsker kommende og forventninger dels på lærernes forestillinger om hvilke krav der må stilles til et ungt menneske i 1987	O O O O O F O O O O O F O O O O O O O O O O C C O O O O O O
29	Berlingske Tidendes afslag kom først seks uger senere og lignede til forveksling afslaget fra Jyllands-Posten .	berlingske tidendes afslag kom først seks uger senere og lignede til forveksling afslaget fra jyllands-posten	berlingske tidendes kom afslag først seks uger senere og lignede til forveksling afslaget fra jyllands-posten	O O F O O O O O O C O O O O O	berlingske tidendes afslag først seks uger senere og kom lignede til forveksling afslaget fra jyllands-posten	O O O O O O O O F C O O O O O
30	Som nationalist nærer han had mod USA , og han ser sig selv som en general i en ny-nazistisk kamp mod amerikanerne .	som nationalist nærer han had mod usa og han ser sig selv som en general i en ny-nazistisk kamp mod amerikanerne	som nationalist nærer han had mod usa og han sig ser selv som en general i en ny-nazistisk kamp mod amerikanerne	O O C O O O O O O O F O O O O O O O O O O	som nationalist nærer han had mod usa og han sig selv som en general i en ny-nazistisk kamp ser mod amerikanerne	O O C O O O O O O O O O O O O O O O F O O
31	PRINSERNE ER MED	prinserne er med	er prinserne med	F O O	prinserne med er	O O F
32	Hvis der undertiden skulle stå noget vås i en film-anmeldelse , skyldes det altså ikke tidnød , selv om det naturligvis er mest bekvemt for anmelderne , hvis læserne tror det .	hvis der undertiden skulle stå noget vås i en film-anmeldelse skyldes det altså ikke tidnød selv om det naturligvis er mest bekvemt for anmelderne hvis læserne tror det	hvis der undertiden skulle stå noget vås i en film-anmeldelse det skyldes altså ikke tidnød selv om det er naturligvis mest bekvemt for anmelderne hvis læserne tror det	O O O C C O O O O O O F O O O O O O F O O O O O O O C O	hvis der undertiden skulle stå noget vås i en film-anmeldelse det altså skyldes ikke tidnød selv om det naturligvis er mest bekvemt tror for anmelderne hvis læserne det	O O O C C O O O O O O O F O O O O O O C O O F O O O O O
33	Stakken blev tæt på 2 meter høj og vejede 43,5 kg. .	stakken blev tæt på 2 meter høj og vejede 43,5 kg.	stakken blev tæt på 2 meter høj og 43,5 vejede kg.	O C O O O O O O O F O	stakken blev tæt på 2 meter høj og 43,5 vejede kg.	O C O O O O O O O F O
34	""" Jeg tænkte , at det her lærer jeg bare ikke ."	jeg tænkte at det her lærer jeg bare ikke	tænkte jeg at det her lærer jeg bare ikke	F O O O O C O O O	jeg tænkte lærer at det her jeg bare ikke	O C F O O O O O O
35	I stuen ved siden af sad de andre foran fjernsynsapparatet og bekymrede sig næppe om hende .	i stuen ved siden af sad de andre foran fjernsynsapparatet og bekymrede sig næppe om hende	i stuen ved siden af sad de andre foran fjernsynsapparatet og sig bekymrede næppe om hende	O O O O O C O O O O O O F O O O	i bekymrede stuen ved siden af sad de andre foran fjernsynsapparatet og sig næppe om hende	O F O O O O C O O O O O O O O O
36	Karen Merete Bennike har skrevet fire populære lærebøger i spansk og fransk for gymnasierne .	karen merete bennike har skrevet fire populære lærebøger i spansk og fransk for gymnasierne	karen merete har bennike skrevet fire populære lærebøger i spansk og fransk for gymnasierne	O O F O C O O O O O O O O O	karen merete bennike skrevet fire har populære lærebøger i spansk og fransk for gymnasierne	O O O C O F O O O O O O O O
37	Han giver mig alting : Bil , video , opvaskemaskine , stereoanlæg og tøj , men det kan jeg jo ikke tage med i seng .	han giver mig alting bil video opvaskemaskine stereoanlæg og tøj men det kan jeg jo ikke tage med i seng	han giver mig alting bil video opvaskemaskine stereoanlæg og tøj men det jeg kan jo tage ikke med i seng	O C O O O O O O O O O O O F O F O O O O	han giver mig alting bil video opvaskemaskine stereoanlæg og tøj men det jeg jo ikke tage med kan i seng	O C O O O O O O O O O O O O O C O F O O
38	Samtidig fortsatte forhandlingerne om andre 84 soldater , der var taget til fange i Bosnien , skriver Reuter .	samtidig fortsatte forhandlingerne om andre 84 soldater der var taget til fange i bosnien skriver reuter	samtidig fortsatte forhandlingerne om andre 84 soldater der var til taget fange i skriver bosnien reuter	O C O O O O O O C O F O O F O O	taget samtidig fortsatte forhandlingerne om andre 84 soldater der skriver var til fange i bosnien reuter	F O C O O O O O O F C O O O O O
39	Bestilte en ny omgang .	bestilte en ny omgang	bestilte en ny omgang	C O O O	bestilte en ny omgang	C O O O
40	"Ingen i besætningen har lyst til at tabe , "" understreger Jesper Bank ."	ingen i besætningen har lyst til at tabe understreger jesper bank	ingen i besætningen har lyst til at tabe understreger jesper bank	O O O C O O O F F O O	ingen i besætningen lyst til at understreger har jesper tabe bank	O O O O O O C F O F O
41	Hun kiggede spørgende på ham .	hun kiggede spørgende på ham	hun kiggede spørgende på ham	O C C O O	hun kiggede på spørgende ham	O C O F O
42	DSBs egne undersøgelser , som politimester J. P. Clausen , Næstved , modtog resultatet af i går , udpeger loko-føreren som den skyldige i togkollisionen på Næstved Station tidligt om morgenen den 25. september .	dsbs egne undersøgelser som politimester j. p. clausen næstved modtog resultatet af i går udpeger loko-føreren som den skyldige i togkollisionen på næstved station tidligt om morgenen den 25. september	dsbs egne undersøgelser som politimester j. p. clausen næstved resultatet modtog af i udpeger går loko-føreren som den skyldige i togkollisionen på næstved station tidligt om morgenen den 25. september	O O O O O O O O O O F O O F O O O O O O O O O O O O O O O O	dsbs egne undersøgelser som politimester j. p. clausen næstved resultatet af i går udpeger loko-føreren som den skyldige i togkollisionen på næstved station tidligt om morgenen den 25. modtog september	O O O O O O O O O O O O O C O O O O O O O O O O O O O O F O
43	"Forskellen på de to biler er , bortset fra det skrækkelige "" hollandske udtræk "" bag på Cosworth'en , transmissionen og visse udstyrsdetaljer , at RS 2000 har en fladere momentkurve end rallyraketten , der skal sparkes op i omdrejninger for få alle 227 hestekræfter i arbejde ."	forskellen på de to biler er bortset fra det skrækkelige hollandske udtræk bag på cosworth'en transmissionen og visse udstyrsdetaljer at rs 2000 har en fladere momentkurve end rallyraketten der skal sparkes op i omdrejninger for få alle 227 hestekræfter i arbejde	forskellen på de to biler er bortset fra det skrækkelige hollandske udtræk bag på cosworth'en transmissionen og visse udstyrsdetaljer at rs 2000 en har fladere momentkurve end rallyraketten skal der sparkes op i omdrejninger for få alle 227 hestekræfter i arbejde	O O O O O C C O O O O O O O O O O O O O O O O F O O O O F O C O O O O C O O O O O	forskellen på de to biler er bortset fra det skrækkelige hollandske udtræk bag på cosworth'en transmissionen og visse skal udstyrsdetaljer at rs få 2000 en fladere momentkurve end rallyraketten der sparkes op i omdrejninger for alle 227 har hestekræfter i arbejde	O O O O O C C O O O O O O O O O O O F O O O F O O O O O O O C O O O O O O F O O O
44	Men når hun får opereret knæet , slipper hun for smerten .	men når hun får opereret knæet slipper hun for smerten	men når hun får opereret knæet slipper hun for smerten	O O O F F O C O O O	men når slipper opereret hun får knæet hun for smerten	O O F F O C O O O O
45	Tholstrup Cheese er den eneste danske producent af frisk pasta , men der går rygter i mejeribranchen om , at også en større brødproducent vil starte en produktion inden længe .	tholstrup cheese er den eneste danske producent af frisk pasta men der går rygter i mejeribranchen om at også en større brødproducent vil starte en produktion inden længe	tholstrup cheese er den eneste danske producent af frisk pasta men der rygter går i mejeribranchen om at også en større vil brødproducent starte en produktion inden længe	O O C O O O O O O O O O O F O O O O O O O F O C O O O O	vil tholstrup cheese er den eneste danske producent af frisk pasta men der rygter i mejeribranchen om at også en større brødproducent starte en går produktion inden længe	F O O C O O O O O O O O O O O O O O O O O O C O F O O O
46	Og der var flere drivhuse , og bag ham var der en bygning han kun havde set den mindste del af .	og der var flere drivhuse og bag ham var der en bygning han kun havde set den mindste del af	og der var flere drivhuse og bag ham der var en bygning han havde kun set den mindste del af	O O C O O O O O O F O O O F O C O O O O	og der var flere drivhuse havde og bag ham der en bygning han kun set den mindste del af var	O O C O O F O O O O O O O O C O O O O F
47	Måtten kom tilbage .	måtten kom tilbage	måtten kom tilbage	O C O	kom måtten tilbage	F O O
48	Kun den orangegule norske Fanta , Solus , kan holde øjne og mund åbne .	kun den orangegule norske fanta solus kan holde øjne og mund åbne	kun den orangegule norske fanta solus kan holde øjne og mund åbne	O O O O O O F F O O O O	kun den kan orangegule norske fanta solus holde øjne og mund åbne	O O F O O O O C O O O O
49	For går han hen og fumler med en mine , skal han alligevel først på infirmeriet .	for går han hen og fumler med en mine skal han alligevel først på infirmeriet	for går han hen og fumler med en mine han skal alligevel først på infirmeriet	O C O O O C O O O O F O O O O	for går han hen og med en mine fumler skal han alligevel først på infirmeriet	O C O O O O O O F C O O O O O
50	Varerummet på en varebil er ikke et bagagerum på samme måde , som et aflåseligt bagagerum på en almindelig personbil , hvor man ikke kan se bagagen udefra .	varerummet på en varebil er ikke et bagagerum på samme måde som et aflåseligt bagagerum på en almindelig personbil hvor man ikke kan se bagagen udefra	varerummet på en er varebil ikke et bagagerum på samme måde som et aflåseligt bagagerum på en almindelig personbil hvor man ikke kan se bagagen udefra	O O O F O O O O O O O O O O O O O O O O O O C C O O	varerummet på en varebil er ikke et kan bagagerum på samme måde som et aflåseligt bagagerum på en almindelig personbil hvor man ikke se bagagen udefra	O O O O C O O F O O O O O O O O O O O O O O O C O O
51	Efter at have flirtet lidt med malerkunst og journalistik satte hun sig selv på skolebænken for at ende som en meget succesfuld TV-instruktør .	efter at have flirtet lidt med malerkunst og journalistik satte hun sig selv på skolebænken for at ende som en meget succesfuld tv-instruktør	efter at have flirtet lidt med malerkunst og journalistik satte hun sig selv på skolebænken for at ende som en meget succesfuld tv-instruktør	O O F F O O O O O C O O O O O O O C O O O O O	efter at satte have lidt med flirtet malerkunst og journalistik hun sig selv på skolebænken for at ende som en meget succesfuld tv-instruktør	O O F C O O F O O O O O O O O O O C O O O O O
52	Storsnudethed virker afrusende .	storsnudethed virker afrusende	storsnudethed afrusende virker	O O F	storsnudethed virker afrusende	O C O
53	Ikke alene synger hun i Bakkens Hvile .	ikke alene synger hun i bakkens hvile	ikke synger alene hun i bakkens hvile	O F O O O O O	synger ikke alene hun i bakkens hvile	F O O O O O O
54	Kunsthallen markerer jubilæet med en 90 centimeter høj bronze-figur af komponisten som dreng , vurderet til 50.000 kr. .	kunsthallen markerer jubilæet med en 90 centimeter høj bronze-figur af komponisten som dreng vurderet til 50.000 kr.	kunsthallen markerer jubilæet med en 90 centimeter høj bronze-figur af komponisten som dreng vurderet til 50.000 kr.	O C O O O O O O O O O O O C O O O	kunsthallen jubilæet med en 90 centimeter høj markerer bronze-figur af komponisten som dreng vurderet til 50.000 kr.	O O O O O O O F O O O O O C O O O
55	"Det kræver dog , at hun laver en specifik træning af lårmusklerne med strækøvelser over en pølle , "" siger ortopædkirurgen ."	det kræver dog at hun laver en specifik træning af lårmusklerne med strækøvelser over en pølle siger ortopædkirurgen	det dog kræver at laver hun en specifik træning af lårmusklerne med strækøvelser over en pølle siger ortopædkirurgen	O O F O F O O O O O O O O O O O C O	det dog at hun laver kræver en specifik træning siger af lårmusklerne med strækøvelser over en pølle ortopædkirurgen	O O O O C F O O O F O O O O O O O O
56	Angrebet kom efter , at byen natten igennem var blevet ramt af 400 raketter .	angrebet kom efter at byen natten igennem var blevet ramt af 400 raketter	angrebet kom efter at byen natten igennem var blevet ramt af 400 raketter	O C O O O O O F F C O O O	angrebet kom blevet efter at byen natten igennem ramt var af 400 raketter	O C F O O O O O C F O O O
57	Samme cifre , de norske piger tabte med i lørdags mod VMs værtsnation .	samme cifre de norske piger tabte med i lørdags mod vms værtsnation	samme cifre de norske piger tabte med i lørdags mod vms værtsnation	O O O O O C O O O O O O	samme cifre de norske tabte piger med i lørdags mod vms værtsnation	O O O O F O O O O O O O
58	I Shell har man ingen planer om at lade en del af den blyholdige 98 oktan erstatte af blyfri .	i shell har man ingen planer om at lade en del af den blyholdige 98 oktan erstatte af blyfri	i shell man har ingen planer om lade at en del af den blyholdige 98 oktan erstatte af blyfri	O O O F O O O F O O O O O O O O C O O	i shell erstatte man ingen planer om at lade en del af den har blyholdige 98 oktan af blyfri	O O F O O O O O C O O O O F O O O O O
59	Ved udgangen af juni beskæftigede de danske industrivirksomheder korrigeret for sæsonudsving godt 270.000 personer .	ved udgangen af juni beskæftigede de danske industrivirksomheder korrigeret for sæsonudsving godt 270.000 personer	ved udgangen af juni beskæftigede de danske industrivirksomheder for korrigeret sæsonudsving godt 270.000 personer	O O O O C O O O O F O O O O	ved udgangen af juni de beskæftigede danske industrivirksomheder korrigeret for sæsonudsving godt 270.000 personer	O O O O O F O O C O O O O O
60	Mit hus er et lille skovløberhus bag en af de røde låger .	mit hus er et lille skovløberhus bag en af de røde låger	mit er hus et lille skovløberhus bag en af de røde låger	O F O O O O O O O O O O	mit hus er et lille skovløberhus bag en af de røde låger	O O C O O O O O O O O O
61	"Trods sine 23 år på bagen er "" Spejldans "" stadig en fascinerende og på mange måder rystende læseoplevelse ."	trods sine 23 år på bagen er spejldans stadig en fascinerende og på mange måder rystende læseoplevelse	trods sine 23 år på bagen er spejldans stadig en fascinerende og på mange måder rystende læseoplevelse	O O O O O O C O O O C O O O O O O	fascinerende trods sine 23 år på bagen er spejldans stadig en og på mange måder rystende læseoplevelse	F O O O O O O C O O O O O O O O O
62	Århus Stiftstidende svarede , at man ikke var interesseret , idet en medarbejder alligevel snart skulle til området .	århus stiftstidende svarede at man ikke var interesseret idet en medarbejder alligevel snart skulle til området	århus stiftstidende at svarede man var ikke interesseret idet en medarbejder alligevel snart skulle til området	O O O F O F O C O O O O O C O O	århus stiftstidende skulle svarede at man ikke var idet interesseret en medarbejder alligevel snart til området	O O F C O O O C O F O O O O O O
63	"De , der udførte bagholdsangrebet , er i øvrigt uden for vor direkte kontrol , "" sagde han til den britiske tv-station Sky ."	de der udførte bagholdsangrebet er i øvrigt uden for vor direkte kontrol sagde han til den britiske tv-station sky	de der er udførte bagholdsangrebet i øvrigt uden for vor direkte kontrol sagde han til den britiske tv-station sky	O O F F O O O O O O O O C O O O O O O	de der udførte bagholdsangrebet i øvrigt uden for vor direkte kontrol sagde han til den britiske er tv-station sky	O O C O O O O O O O O F O O O O F O O
64	En anden blomsterhandler , Carsten Ove Dalsø Nielsen fra Carstens Blomster i Bredegade 55 , Slagelse , har også modtaget henvendelser fra politiet .	en anden blomsterhandler carsten ove dalsø nielsen fra carstens blomster i bredegade 55 slagelse har også modtaget henvendelser fra politiet	en anden blomsterhandler carsten ove dalsø nielsen fra carstens blomster i bredegade 55 slagelse har også henvendelser modtaget fra politiet	O O O O O O O O O O O O O O C O O F O O	en anden blomsterhandler carsten ove modtaget dalsø nielsen fra carstens blomster i bredegade 55 slagelse har også henvendelser fra politiet	O O O O O F O O O O O O O O O C O O O O
65	Erkendelsen faldt dog fra hinanden efter grundige afhøringer hos politiet .	erkendelsen faldt dog fra hinanden efter grundige afhøringer hos politiet	faldt erkendelsen dog fra hinanden efter grundige afhøringer hos politiet	F O O O O O O O O O	erkendelsen dog fra hinanden efter grundige afhøringer hos politiet faldt	O O O O O O O O O F
66	Jeg fik blot besked om , at der overhovedet ikke var nogen problemer .	jeg fik blot besked om at der overhovedet ikke var nogen problemer	jeg fik blot besked om at der overhovedet ikke var nogen problemer	O C O O O O O O O C O O	jeg blot besked om at der overhovedet ikke fik var nogen problemer	O O O O O O O O F C O O
67	Men vi er stærkt knyttet til hinanden .	men vi er stærkt knyttet til hinanden	men vi knyttet er stærkt til hinanden	O O F F O O O	men vi knyttet er stærkt til hinanden	O O F C O O O
68	Blandt fodboldspillerne i den fysisk krævende EM-turnering er der stor professionel medfølelse med den uheldige sportsmand .	blandt fodboldspillerne i den fysisk krævende em-turnering er der stor professionel medfølelse med den uheldige sportsmand	blandt fodboldspillerne i den fysisk krævende em-turnering er der stor professionel medfølelse med den uheldige sportsmand	O O O O O O O C O O O O O O O O	blandt fodboldspillerne i den fysisk krævende em-turnering der stor professionel medfølelse med den er uheldige sportsmand	O O O O O O O O O O O O O F O O
69	Skolens arbejde med elektronisk post muliggøres af et abonnement på et elektronisk netværk med knudepunkter over hele verden , EARN-nettet ( European Academic Research Network ) .	skolens arbejde med elektronisk post muliggøres af et abonnement på et elektronisk netværk med knudepunkter over hele verden earn-nettet european academic research network	skolens arbejde med elektronisk post muliggøres af et abonnement på et elektronisk netværk med knudepunkter over hele verden earn-nettet european academic research network	O O O O O C O O O O O O O O O O O O O O O O O	skolens arbejde med elektronisk post muliggøres af et abonnement på et elektronisk netværk med knudepunkter over hele verden earn-nettet european academic research network	O O O O O C O O O O O O O O O O O O O O O O O
