idx	original	no_punc_lower	adjacent	adjacent_gold	random	random_gold
14	Það eru myndirnar Mortdecai og Transcendence sem draga Depp niður , en Mortdecai skilaði fjárfestum tapi og Transcendence kom rétt út á sléttu .	það eru myndirnar mortdecai og transcendence sem draga depp niður en mortdecai skilaði fjárfestum tapi og transcendence kom rétt út á sléttu	það eru myndirnar mortdecai og transcendence sem depp draga niður en skilaði mortdecai fjárfestum tapi og transcendence kom rétt út á sléttu	O C O O O O O O F O O F O O O O O C O O O O	það eru myndirnar mortdecai og transcendence sem depp niður en mortdecai skilaði fjárfestum tapi kom og transcendence rétt draga út á sléttu	O C O O O O O O O O O C O O F O O O F O O O
15	Ástæðan er fyrst og fremst afar stórir árgangar fólks á aldrinum 65 til 79 ára þar sem hlutfallslega fleri lifa lengur en áður .	ástæðan er fyrst og fremst afar stórir árgangar fólks á aldrinum 65 til 79 ára þar sem hlutfallslega fleri lifa lengur en áður	ástæðan er fyrst og fremst afar stórir árgangar fólks á aldrinum 65 til 79 ára þar sem hlutfallslega fleri lengur lifa en áður	O C O O O O O O O O O O O O O O O O O O F O O	ástæðan fyrst og fremst afar stórir árgangar fólks á aldrinum 65 til 79 ára þar sem hlutfallslega fleri lifa lengur en er áður	O O O O O O O O O O O O O O O O O O C O O F O
16	Um 3.500 mótmælendur voru á svæðinu , sumir grímuklæddir og köstuðu margir hverjir öllu lauslegu í átt að lögreglu sem fjölmennti vegna mótmælanna .	um 3.500 mótmælendur voru á svæðinu sumir grímuklæddir og köstuðu margir hverjir öllu lauslegu í átt að lögreglu sem fjölmennti vegna mótmælanna	um 3.500 voru mótmælendur á svæðinu sumir grímuklæddir og köstuðu margir hverjir öllu lauslegu í átt að lögreglu sem fjölmennti vegna mótmælanna	O O F O O O O O O C O O O O O O O O O C O O	um 3.500 köstuðu mótmælendur voru á svæðinu sumir grímuklæddir og margir hverjir öllu lauslegu í átt að lögreglu sem fjölmennti vegna mótmælanna	O O F O C O O O O O O O O O O O O O O C O O
17	Hugmyndin að brynvörðu tæki sem gæti hrist af sér kúlnaregn og brotist gegnum víglínur andstæðinganna varð reyndar til áður en heimsstyrjöldin braust út .	hugmyndin að brynvörðu tæki sem gæti hrist af sér kúlnaregn og brotist gegnum víglínur andstæðinganna varð reyndar til áður en heimsstyrjöldin braust út	hugmyndin að brynvörðu tæki sem gæti hrist af sér kúlnaregn og brotist gegnum víglínur andstæðinganna varð reyndar til áður en heimsstyrjöldin út braust	O O O O O F F O O O O C O O O C O O O O O O F	hugmyndin að brotist brynvörðu tæki sem hrist af sér kúlnaregn og gegnum víglínur andstæðinganna varð reyndar braust til áður en heimsstyrjöldin gæti út	O O F O O O C O O O O O O O C O F O O O O F O
18	Sveinn Hjörtur sagðist í samtali við Vísi í gær ekki ætla að kæra kosninguna , en að hann vilji fá afsökunarbeiðni frá flokknum .	sveinn hjörtur sagðist í samtali við vísi í gær ekki ætla að kæra kosninguna en að hann vilji fá afsökunarbeiðni frá flokknum	sveinn sagðist hjörtur í samtali við vísi í gær ekki ætla að kæra kosninguna en að hann vilji fá afsökunarbeiðni frá flokknum	O F O O O O O O O O C O C O O O O F F O O O	sveinn hjörtur í samtali við sagðist vísi í gær ekki að kæra kosninguna en að hann vilji fá ætla afsökunarbeiðni frá flokknum	O O O O O F O O O O O F O O O O C C F O O O
19	Fallbaráttan er galopin núna og við ætlum að gera allt sem í okkar valdi stendur til þess að halda sæti okkar í deildinni .	fallbaráttan er galopin núna og við ætlum að gera allt sem í okkar valdi stendur til þess að halda sæti okkar í deildinni	fallbaráttan er galopin núna og við ætlum að allt gera sem í okkar stendur valdi til þess að halda sæti okkar í deildinni	O C O O O O C O O F O O O F O O O O C O O O O	fallbaráttan galopin núna og við að gera er allt sem í okkar valdi stendur til þess að ætlum sæti okkar í halda deildinni	O O O O O O C F O O O O O C O O O F O O O F O
20	Í frétt BBC segir að í fyrstu hafi verið greint frá því að 27 hefðu farist en það hefur verið nú verið leiðrétt .	í frétt bbc segir að í fyrstu hafi verið greint frá því að 27 hefðu farist en það hefur verið nú verið leiðrétt	í frétt bbc segir að í fyrstu hafi verið greint frá því að 27 hefðu en farist hefur það verið nú verið leiðrétt	O O O C O O O F F C O O O O C O F F O O O C C	í frétt hefðu bbc að í fyrstu hefur hafi verið frá því að 27 segir verið farist en það verið nú leiðrétt greint	O O F O O O O F C C O O O O F F C O O O O C F
21	Sem leikkona kunni hún ákaflega vel við sig þar og ekki leið á löngu þar til Hollywood stjörnurnar hófu að leita til hennar .	sem leikkona kunni hún ákaflega vel við sig þar og ekki leið á löngu þar til hollywood stjörnurnar hófu að leita til hennar	sem leikkona hún kunni ákaflega vel við sig þar og leið ekki á löngu þar til hollywood stjörnurnar hófu að leita til hennar	O O O F O O O O O O F O O O O O O O C O C O O	sem leikkona hófu kunni hún ákaflega leið vel við sig þar og ekki á löngu þar til hollywood stjörnurnar að leita til hennar	O O F C O O F O O O O O O O O O O O O O C O O
22	Konur sem voru múhameðstrúar sendu mér tölvupósta og tóku eindregið undir það sem ég var að segja en óskuðu líka nær allar nafnleyndar .	konur sem voru múhameðstrúar sendu mér tölvupósta og tóku eindregið undir það sem ég var að segja en óskuðu líka nær allar nafnleyndar	konur sem sendu voru múhameðstrúar mér tölvupósta og tóku eindregið undir það sem ég var að óskuðu segja en líka nær allar nafnleyndar	O O F F O O O O C O O O O O C O F F O O O O O	konur sem voru múhameðstrúar mér sendu tölvupósta og óskuðu tóku segja eindregið undir það sem ég var að en líka nær allar nafnleyndar	O O C O O F O O F C F O O O O O C O O O O O O
23	Það er þekkt fyrirbæri að þegar flugfélag kemur með nýjan áfangastað á markaðinn verður aukning í farþegafjölda um kannski 10 til 15 prósent .	það er þekkt fyrirbæri að þegar flugfélag kemur með nýjan áfangastað á markaðinn verður aukning í farþegafjölda um kannski 10 til 15 prósent	það er þekkt fyrirbæri að þegar flugfélag kemur með nýjan áfangastað á markaðinn aukning verður í farþegafjölda um kannski 10 til 15 prósent	O C O O O O O C O O O O O O F O O O O O O O O	það er þekkt fyrirbæri að þegar flugfélag með nýjan áfangastað á markaðinn verður aukning í farþegafjölda um kemur kannski 10 til 15 prósent	O C O O O O O O O O O O C O O O O F O O O O O
24	Guðmundur segir að þegar illa fer eigi vagnstjórinn að taka stjórn á vettvangi , en það hafi augljóslega ekki verið hægt í dag .	guðmundur segir að þegar illa fer eigi vagnstjórinn að taka stjórn á vettvangi en það hafi augljóslega ekki verið hægt í dag	segir guðmundur að þegar illa fer eigi vagnstjórinn að stjórn taka á vettvangi en hafi það augljóslega ekki verið hægt í dag	F O O O O C C O O O F O O O F O O O C O O O	guðmundur að þegar illa eigi vagnstjórinn að taka stjórn segir á vettvangi hafi en það augljóslega ekki verið hægt fer í dag	O O O O C O O C O F O O F O O O O C O F O O
25	LeBron James og Savannah Brinson eiga þrjú börn saman , tvo eldri stráka og svo litla stelpu sem er augljóslega augasteinn pabba síns .	lebron james og savannah brinson eiga þrjú börn saman tvo eldri stráka og svo litla stelpu sem er augljóslega augasteinn pabba síns	lebron james og savannah brinson eiga þrjú börn saman tvo eldri stráka og svo litla stelpu sem augljóslega er augasteinn pabba síns	O O O O O C O O O O O O O O O O O O F O O O	lebron james og savannah brinson eiga þrjú börn saman tvo er eldri stráka og svo litla stelpu sem augljóslega augasteinn pabba síns	O O O O O C O O O O F O O O O O O O O O O O
26	Niðurstaða skýrslunnar er sú að notkun jarðefnaeldneytis í samgöngum á landi í Bretlandi sé að nálgast sögulegt hámark og muni síðan dvína hratt .	niðurstaða skýrslunnar er sú að notkun jarðefnaeldneytis í samgöngum á landi í bretlandi sé að nálgast sögulegt hámark og muni síðan dvína hratt	niðurstaða er skýrslunnar sú að notkun jarðefnaeldneytis í samgöngum á landi í bretlandi sé að nálgast sögulegt hámark og dvína muni síðan hratt	O F O O O O O O O O O O O C O C O O O F F O O	niðurstaða skýrslunnar er sú að notkun jarðefnaeldneytis í samgöngum á landi nálgast í bretlandi sé að sögulegt dvína hámark og muni síðan hratt	O O C O O O O O O O O F O O C O O F O O C O O
27	Búist er við því að Mkhitaryan verði frá í 10 daga sem útilokar hann frá þátttöku í Manchester-slagnum um næstu helgi .	búist er við því að mkhitaryan verði frá í 10 daga sem útilokar hann frá þátttöku í manchester-slagnum um næstu helgi	búist er við því að mkhitaryan frá verði í 10 daga útilokar sem hann frá þátttöku í manchester-slagnum um næstu helgi	C C O O O O O F O O O F O O O O O O O O O	búist við því að mkhitaryan er verði frá í 10 daga sem hann útilokar frá þátttöku í manchester-slagnum um næstu helgi	C O O O O F C O O O O O O F O O O O O O O
28	Út úr þeirri úttekt komu fullt af ábendingum , og ein af þeim var að láta heiti mannauðsdeildarinnar endurspegla betur áherslurnar í jafnréttismálunum .	út úr þeirri úttekt komu fullt af ábendingum og ein af þeim var að láta heiti mannauðsdeildarinnar endurspegla betur áherslurnar í jafnréttismálunum	út úr þeirri úttekt komu fullt af ábendingum og ein af þeim var að heiti láta endurspegla mannauðsdeildarinnar betur áherslurnar í jafnréttismálunum	O O O O C O O O O O O O C O O F F O O O O O	út úr þeirri úttekt komu fullt af ábendingum láta og ein af þeim að heiti mannauðsdeildarinnar endurspegla betur áherslurnar í var jafnréttismálunum	O O O O C O O O F O O O O O O O C O O O F O
29	Hollywood-stjarnan og Íslandsvinurinn Ben Stiller er greinilega mikill aðdáandi Ben Stiller ef marka má tíst hans frá því fyrr í dag .	hollywood-stjarnan og íslandsvinurinn ben stiller er greinilega mikill aðdáandi ben stiller ef marka má tíst hans frá því fyrr í dag	hollywood-stjarnan og íslandsvinurinn ben stiller er greinilega mikill aðdáandi ben stiller ef marka tíst má hans frá því fyrr í dag	O O O O O C O O O O O O C O F O O O O O O	hollywood-stjarnan og má er íslandsvinurinn ben stiller greinilega mikill aðdáandi ben stiller ef marka tíst hans frá því fyrr í dag	O O F F O O O O O O O O O C O O O O O O O
30	Eru þá skuldir vegna lífeyrisskuldbindinga ekki taldar með .	eru þá skuldir vegna lífeyrisskuldbindinga ekki taldar með	eru þá skuldir vegna lífeyrisskuldbindinga taldar ekki með	C O O O O F O O	þá skuldir vegna eru lífeyrisskuldbindinga ekki taldar með	O O O F O O C O
31	Hvað er besta jólagjöf sem þú hefur fengið ?	hvað er besta jólagjöf sem þú hefur fengið	hvað er besta jólagjöf sem þú hefur fengið	O C O O O O F F	hvað besta jólagjöf fengið sem þú er hefur	O O O F O O F C
32	Hann reyndist einnig hafa fíkniefni í fórum sínum .	hann reyndist einnig hafa fíkniefni í fórum sínum	hann reyndist einnig hafa fíkniefni í fórum sínum	O C O C O O O O	hann einnig hafa reyndist fíkniefni í fórum sínum	O O C F O O O O
33	Hugur okkar er hjá fjölskyldu stúlkunnar .	hugur okkar er hjá fjölskyldu stúlkunnar	hugur okkar hjá er fjölskyldu stúlkunnar	O O O F O O	hugur okkar hjá fjölskyldu stúlkunnar er	O O O O O F
34	En í praxis þá er staðan þessi .	en í praxis þá er staðan þessi	en í praxis er þá staðan þessi	O O O F O O O	en í praxis þá er staðan þessi	O O O O C O O
35	Árið eftir komu fyrstu tvær plötur Ingibjargar út .	árið eftir komu fyrstu tvær plötur ingibjargar út	árið eftir komu fyrstu tvær plötur ingibjargar út	O O C O O O O O	árið eftir fyrstu tvær komu plötur ingibjargar út	O O O O F O O O
36	Við þurfum að vita hverjir sækja okkur heim .	við þurfum að vita hverjir sækja okkur heim	við þurfum að sækja vita hverjir okkur heim	O C O F F O O O	við þurfum að hverjir sækja vita okkur heim	O C O O C F O O
37	Þessi mynd er úr ferð Fjallaleiðsögumanna yfir Vatnajökul .	þessi mynd er úr ferð fjallaleiðsögumanna yfir vatnajökul	þessi mynd er úr ferð fjallaleiðsögumanna yfir vatnajökul	O O C O O O O O	þessi mynd úr ferð fjallaleiðsögumanna yfir vatnajökul er	O O O O O O O F
38	Uppljóstranir Snowdens eru stórflóð frekar en leki .	uppljóstranir snowdens eru stórflóð frekar en leki	uppljóstranir snowdens eru stórflóð frekar en leki	O O C O O O O	uppljóstranir snowdens eru stórflóð frekar en leki	O O C O O O O
39	Það er það sem við gagnrýnum mjög .	það er það sem við gagnrýnum mjög	það það er sem gagnrýnum við mjög	O O F O F O O	það það er sem við gagnrýnum mjög	O O F O O C O
40	Það er greinilegt að Guðmundur er að ná því besta fram í Aroni , sagði Stefán um leikinn í gær .	það er greinilegt að guðmundur er að ná því besta fram í aroni sagði stefán um leikinn í gær	það er greinilegt að guðmundur er að því ná besta fram í sagði aroni stefán um leikinn í gær	O C O O O C O O F O O O F O O O O O O	það greinilegt að guðmundur að ná því besta fram í aroni er sagði stefán um leikinn í gær er	O O O O O C O O O O O F C O O O O O F
41	Þannig eru sigurvegararnir hvattir til að sleppa því að lesa upp langa lista og segja eitthvað sem mun hreyfa við áhorfendum .	þannig eru sigurvegararnir hvattir til að sleppa því að lesa upp langa lista og segja eitthvað sem mun hreyfa við áhorfendum	þannig eru sigurvegararnir hvattir til að því sleppa lesa að upp langa lista og segja eitthvað sem mun við hreyfa áhorfendum	O C O C O O O F F O O O O O C O O C O F O	þannig eru sigurvegararnir sleppa hvattir til að því hreyfa að lesa upp langa lista og mun segja eitthvað sem við áhorfendum	O C O F F O O O F O C O O O O F C O O O O
42	Hiti og þurrkur í Ameríku og Evrópu gæti haldist í hendur við óþurrkasumarið sem verið hefur á sunnan- og vestanverðu Íslandi .	hiti og þurrkur í ameríku og evrópu gæti haldist í hendur við óþurrkasumarið sem verið hefur á sunnan- og vestanverðu íslandi	hiti og þurrkur í ameríku og gæti evrópu haldist í hendur við óþurrkasumarið sem verið á hefur sunnan- og vestanverðu íslandi	O O O O O O F O C O O O O O C O F O O O O	hiti og þurrkur í ameríku og evrópu gæti í hendur við óþurrkasumarið sem verið haldist á sunnan- hefur og vestanverðu íslandi	O O O O O O O C O O O O O C F O O F O O O
43	Þetta er harður dómur yfir framferði íslensku fjármálastofnanna og fjármálamannanna sem voru mestir og bestir í heimi — fyrir hrun .	þetta er harður dómur yfir framferði íslensku fjármálastofnanna og fjármálamannanna sem voru mestir og bestir í heimi — fyrir hrun	er þetta harður dómur yfir framferði íslensku fjármálastofnanna og fjármálamannanna sem voru mestir og bestir í heimi — fyrir hrun	F O O O O O O O O O O C O O O O O O O O	þetta harður dómur yfir framferði íslensku fjármálastofnanna og fjármálamannanna sem voru mestir og bestir er í heimi — fyrir hrun	O O O O O O O O O O C O O O F O O O O O
44	Og það sést reyndar vel á Facebook-síðum Páls og Ásmundar Friðrikssonar , sem skipaði annað sætið á lista flokksins .	og það sést reyndar vel á facebook-síðum páls og ásmundar friðrikssonar sem skipaði annað sætið á lista flokksins	og það sést reyndar vel á facebook-síðum páls og ásmundar friðrikssonar sem annað skipaði sætið á lista flokksins	O O C O O O O O O O O O O F O O O O	og það reyndar vel sést á facebook-síðum páls og ásmundar friðrikssonar sem skipaði annað sætið á lista flokksins	O O O O F O O O O O O O C O O O O O
45	Ástæðan var ósætti í samningi vegna ímyndarréttar þeirra og launa vegna vinnu á vegum sambandsins í auglýsingum og fleiru þess háttar .	ástæðan var ósætti í samningi vegna ímyndarréttar þeirra og launa vegna vinnu á vegum sambandsins í auglýsingum og fleiru þess háttar	var ástæðan ósætti í samningi vegna ímyndarréttar þeirra og launa vegna vinnu á vegum sambandsins í auglýsingum og fleiru þess háttar	F O O O O O O O O O O O O O O O O O O O O	ástæðan var ósætti í samningi vegna ímyndarréttar þeirra og launa vegna vinnu á vegum sambandsins í auglýsingum og fleiru þess háttar	O C O O O O O O O O O O O O O O O O O O O
46	Síðan þá hefur verkefnið verið á miklu flugi því mikill hugur er í forsvarsmönnum Showtime að koma þessu á koppinn .	síðan þá hefur verkefnið verið á miklu flugi því mikill hugur er í forsvarsmönnum showtime að koma þessu á koppinn	síðan þá hefur verkefnið verið á miklu flugi því mikill hugur í er forsvarsmönnum showtime koma að þessu á koppinn	O O C O C O O O O O O O F O O F O O O O	síðan þá verkefnið verið á miklu flugi því mikill hugur í forsvarsmönnum showtime hefur er að koma þessu á koppinn	O O O C O O O O O O O O O F F O C O O O
47	Mattis sagðist jafnframt hafa áhyggjur af framgangi Rússa á nokkrum vígstöðvum , meðal annars í sýrlensku borginni Aleppo og í Úkraínu .	mattis sagðist jafnframt hafa áhyggjur af framgangi rússa á nokkrum vígstöðvum meðal annars í sýrlensku borginni aleppo og í úkraínu	mattis sagðist jafnframt hafa áhyggjur af framgangi rússa á nokkrum vígstöðvum meðal annars í sýrlensku borginni aleppo og í úkraínu	O C O C O O O O O O O O O O O O O O O O	mattis jafnframt hafa áhyggjur af framgangi sagðist rússa á nokkrum vígstöðvum meðal annars í sýrlensku borginni aleppo og í úkraínu	O O C O O O F O O O O O O O O O O O O O
48	Hann segir að á þeim sextíu árum sem hann hafi unnið að landgræðslu hafi fólk lært mikið að vinna með náttúrunni .	hann segir að á þeim sextíu árum sem hann hafi unnið að landgræðslu hafi fólk lært mikið að vinna með náttúrunni	hann að segir á þeim sextíu árum sem hafi hann unnið að landgræðslu hafi fólk mikið lært vinna að með náttúrunni	O O F O O O O O F O C O O C O O F F O O O	hann segir að hafi á þeim sextíu árum sem hann að landgræðslu fólk lært mikið að hafi unnið vinna með náttúrunni	O C O F O O O O O O O O O C O O F F C O O
49	Minnst sex létu lífið í morgun og 30 særðust þegar loftárásir voru gerðar á skrifstofubyggingu forsetaembættisins í Sanaa , höfuðborg Jemen .	minnst sex létu lífið í morgun og 30 særðust þegar loftárásir voru gerðar á skrifstofubyggingu forsetaembættisins í sanaa höfuðborg jemen	minnst sex létu lífið í morgun og 30 særðust þegar loftárásir voru gerðar á skrifstofubyggingu forsetaembættisins í sanaa höfuðborg jemen	O O C O O O O O C O O F F O O O O O O O	minnst sex lífið í morgun og 30 særðust voru þegar létu loftárásir gerðar á skrifstofubyggingu forsetaembættisins í sanaa höfuðborg jemen	O O O O O O O C F O F O C O O O O O O O
50	Stelpur virðast samkvæmt rannsókninni frekar upplifa álag og verki og vill Hermundur tengja það við veika sjálfsmynd sem aftur má svo tengja við notkun samfélagsmiðla .	stelpur virðast samkvæmt rannsókninni frekar upplifa álag og verki og vill hermundur tengja það við veika sjálfsmynd sem aftur má svo tengja við notkun samfélagsmiðla	stelpur virðast samkvæmt rannsókninni frekar upplifa álag og verki og tengja vill hermundur það við veika sjálfsmynd sem aftur má svo tengja við notkun samfélagsmiðla	O C O O O C O O O O F F O O O O O O O C O C O O O	stelpur samkvæmt rannsókninni frekar má upplifa álag og verki og vill hermundur virðast tengja tengja það við veika sjálfsmynd sem aftur svo við notkun samfélagsmiðla	O O O O F C O O O O C O F F C O O O O O O O O O O
51	Undanfarin ár hefur Abduraimov komið fram með leiðandi hljómsveitum heims , til dæmis Fílharmóníuhljómsveitinni í Los Angeles , Sinfóníuhljómsveitinni í Boston og Gewandhaushljómsveitinni í Leipzig .	undanfarin ár hefur abduraimov komið fram með leiðandi hljómsveitum heims til dæmis fílharmóníuhljómsveitinni í los angeles sinfóníuhljómsveitinni í boston og gewandhaushljómsveitinni í leipzig	undanfarin ár komið hefur abduraimov fram með leiðandi hljómsveitum heims til dæmis fílharmóníuhljómsveitinni í los angeles sinfóníuhljómsveitinni í boston og gewandhaushljómsveitinni í leipzig	O O F F O O O O O O O O O O O O O O O O O O O	undanfarin ár hefur abduraimov fram með komið leiðandi hljómsveitum heims til dæmis fílharmóníuhljómsveitinni í los angeles sinfóníuhljómsveitinni í boston og gewandhaushljómsveitinni í leipzig	O O C O O O F O O O O O O O O O O O O O O O O
52	Samkvæmt Birgittu mun Naomi Colvin , fyrrverandi leiðtogi samtakanna sem áður aðstoðaði lekamanninn Lauri Love við að komast hjá framsali , taka verkefnið að sér .	samkvæmt birgittu mun naomi colvin fyrrverandi leiðtogi samtakanna sem áður aðstoðaði lekamanninn lauri love við að komast hjá framsali taka verkefnið að sér	samkvæmt birgittu mun naomi colvin fyrrverandi leiðtogi samtakanna sem áður aðstoðaði lekamanninn lauri love við að hjá komast taka framsali verkefnið að sér	O O C O O O O O O O C O O O O O O F F O O O O	samkvæmt birgittu mun naomi colvin aðstoðaði fyrrverandi leiðtogi samtakanna sem taka áður lekamanninn lauri love við að komast hjá framsali verkefnið að sér	O O C O O F O O O O F O O O O O O C O O O O O
53	Í fréttatilkynningu frá Reykjavíkurborg í hádeginu kemur fram að frumniðurstöður mælinga Heilbrigðiseftirlits Reykjavíkur sýni að gerlamagn sé undir viðmiðunarmörkum vestan megin við stöðina við Faxaskjól .	í fréttatilkynningu frá reykjavíkurborg í hádeginu kemur fram að frumniðurstöður mælinga heilbrigðiseftirlits reykjavíkur sýni að gerlamagn sé undir viðmiðunarmörkum vestan megin við stöðina við faxaskjól	í fréttatilkynningu frá reykjavíkurborg í hádeginu kemur fram að frumniðurstöður mælinga heilbrigðiseftirlits reykjavíkur sýni að gerlamagn undir sé viðmiðunarmörkum vestan megin við stöðina við faxaskjól	O O O O O O C O O O O O O C O O O F O O O O O O O	í fréttatilkynningu frá reykjavíkurborg í hádeginu fram að frumniðurstöður mælinga heilbrigðiseftirlits reykjavíkur kemur að gerlamagn sé undir viðmiðunarmörkum vestan megin við stöðina við sýni faxaskjól	O O O O O O O O O O O O F O O C O O O O O O O F O
54	Lykt sem barst frá húsinu gaf lögreglu tilefni til að skoða hvað þær væri að finna og leyndust 16 kannabisplöntur af öllum stærðum fyrir innan .	lykt sem barst frá húsinu gaf lögreglu tilefni til að skoða hvað þær væri að finna og leyndust 16 kannabisplöntur af öllum stærðum fyrir innan	lykt barst sem frá húsinu gaf lögreglu tilefni til að skoða hvað þær finna væri að og leyndust 16 kannabisplöntur af öllum stærðum fyrir innan	O F O O O C O O O O C O O F F O O C O O O O O O O	lykt sem finna frá barst húsinu gaf lögreglu tilefni til að skoða leyndust hvað þær væri að og 16 kannabisplöntur af öllum stærðum fyrir innan	O O F O F O C O O O O C F O O C O O O O O O O O O
