idx	original	no_punc_lower	correct_gold	no_punc_lower_permuted	permuted_gold
10	Frá og með árinu 2014 hefur markvisst verið unnið að því að minnka hámarkshraða á götum borgarinnar úr 50 km í 30 km .	frá og með árinu 2014 hefur markvisst verið unnið að því að minnka hámarkshraða á götum borgarinnar úr 50 km í 30 km	O O O O O C O C C O O O C O O O O O O O O O O	frá og verið með hefur árinu 2014 markvisst unnið að því að minnka hámarkshraða á götum borgarinnar úr 50 km í 30 km	O O F O F O O O C O O O C O O O O O O O O O O
11	Fidel Castro gagnrýndi Barack Obama , forseta Bandaríkjanna , fyrr í dag í grein sem hann skrifaði og birtist í ríkisreknum fjölmiðli landsins .	fidel castro gagnrýndi barack obama forseta bandaríkjanna fyrr í dag í grein sem hann skrifaði og birtist í ríkisreknum fjölmiðli landsins	O O C O O O O O O O O O O O O O O O O C C	fidel castro barack obama forseta bandaríkjanna fyrr í dag í grein sem hann gagnrýndi skrifaði og birtist í ríkisreknum fjölmiðli landsins	O O O O O O O O O O O O O F C O C O O O O
12	Ég fór því rólega af stað en þegar ég var að taka sprett á æfingu nokkru síðar fann ég sting neðst við ökklann .	ég fór því rólega af stað en þegar ég var að taka sprett á æfingu nokkru síðar fann ég sting neðst við ökklann	O C O O O O O O O C O O O C O O O C O O O O O	ég því fór rólega af stað en þegar ég nokkru að taka sprett á æfingu var síðar ég sting fann neðst við ökklann	O O F O O O O O O O O C O O O F O O O F O O O
13	Angelo kvaðst fyrir dómi í dag hafa vitað af þremur pökkum í bílnum en hann sagðist ekki hafa vitað hvað væri í þeim .	angelo kvaðst fyrir dómi í dag hafa vitað af þremur pökkum í bílnum en hann sagðist ekki hafa vitað hvað væri í þeim	O C O O O O C O C O O O O O O C O C C O C O O	angelo kvaðst fyrir dómi í dag hafa af þremur pökkum í bílnum vitað en hafa hann sagðist ekki vitað hvað væri í þeim	O C O O O O C O O O O O F O F O F O C O C O O
14	Það eru myndirnar Mortdecai og Transcendence sem draga Depp niður , en Mortdecai skilaði fjárfestum tapi og Transcendence kom rétt út á sléttu .	það eru myndirnar mortdecai og transcendence sem draga depp niður en mortdecai skilaði fjárfestum tapi og transcendence kom rétt út á sléttu	O C O O O O O O O C O O O C O O O C O O O O	það eru myndirnar mortdecai og transcendence sem depp niður draga en mortdecai skilaði fjárfestum tapi og transcendence rétt kom út á sléttu	O C O O O O O O O F O O C O O O O O F O O O
15	Ástæðan er fyrst og fremst afar stórir árgangar fólks á aldrinum 65 til 79 ára þar sem hlutfallslega fleri lifa lengur en áður .	ástæðan er fyrst og fremst afar stórir árgangar fólks á aldrinum 65 til 79 ára þar sem hlutfallslega fleri lifa lengur en áður	O C O O O O O O O O O O O O O O O O O C O O O	ástæðan fyrst og fremst afar stórir árgangar fólks á aldrinum er 65 til 79 ára þar sem hlutfallslega fleri lifa lengur en áður	O O O O O O O O O O F O O O O O O O O C O O O
16	Um 3.500 mótmælendur voru á svæðinu , sumir grímuklæddir og köstuðu margir hverjir öllu lauslegu í átt að lögreglu sem fjölmennti vegna mótmælanna .	um 3.500 mótmælendur voru á svæðinu sumir grímuklæddir og köstuðu margir hverjir öllu lauslegu í átt að lögreglu sem fjölmennti vegna mótmælanna	O O O C O O O O O C O O O O O O O O O C O O	um 3.500 mótmælendur á svæðinu sumir grímuklæddir og voru köstuðu margir hverjir öllu lauslegu í átt að lögreglu sem fjölmennti vegna mótmælanna	O O O O O O O O F C O O O O O O O O O C O O
17	Hugmyndin að brynvörðu tæki sem gæti hrist af sér kúlnaregn og brotist gegnum víglínur andstæðinganna varð reyndar til áður en heimsstyrjöldin braust út .	hugmyndin að brynvörðu tæki sem gæti hrist af sér kúlnaregn og brotist gegnum víglínur andstæðinganna varð reyndar til áður en heimsstyrjöldin braust út	O O O O C O O O C C O O O O C O O O O O O C O	hugmyndin að brynvörðu tæki gæti sem af sér hrist kúlnaregn og gegnum víglínur andstæðinganna brotist varð reyndar til áður en heimsstyrjöldin braust út	O O O O F O O O F O O O O O F C O O O O O C O
18	Sveinn Hjörtur sagðist í samtali við Vísi í gær ekki ætla að kæra kosninguna , en að hann vilji fá afsökunarbeiðni frá flokknum .	sveinn hjörtur sagðist í samtali við vísi í gær ekki ætla að kæra kosninguna en að hann vilji fá afsökunarbeiðni frá flokknum	O O C O O O O O O O O C O C O O O C C O O O	sveinn hjörtur í samtali við vísi í gær sagðist ekki ætla að kæra kosninguna en vilji að hann afsökunarbeiðni frá flokknum fá	O O O O O O O O F O C O C O O F O O O O O F
19	Fallbaráttan er galopin núna og við ætlum að gera allt sem í okkar valdi stendur til þess að halda sæti okkar í deildinni .	fallbaráttan er galopin núna og við ætlum að gera allt sem í okkar valdi stendur til þess að halda sæti okkar í deildinni	O C O O O O C O C O O O O O C O O O C O O O O	fallbaráttan er galopin núna og ætlum við að gera allt sem stendur í okkar valdi til þess að halda sæti okkar í deildinni	O C O O O F O O C O O F O O O O O O C O O O O
20	Í frétt BBC segir að í fyrstu hafi verið greint frá því að 27 hefðu farist en það hefur verið nú verið leiðrétt .	í frétt bbc segir að í fyrstu hafi verið greint frá því að 27 hefðu farist en það hefur verið nú verið leiðrétt	O O O C O O O O C C C O O O O C C O C O O C C	í frétt bbc segir að hafi greint í fyrstu verið frá því að 27 hefðu farist en það hefur verið leiðrétt nú verið	O O O C O F F O O F O O O O C C O O C O F O F
21	Sem leikkona kunni hún ákaflega vel við sig þar og ekki leið á löngu þar til Hollywood stjörnurnar hófu að leita til hennar .	sem leikkona kunni hún ákaflega vel við sig þar og ekki leið á löngu þar til hollywood stjörnurnar hófu að leita til hennar	O O C O O O O O O O O C O O O O O O C O C O O	sem leikkona kunni hún ákaflega vel við sig þar og ekki á leið löngu þar til hollywood stjörnurnar hófu að leita til hennar	O O C O O O O O O O O O F O O O O O C O C O O
22	Konur sem voru múhameðstrúar sendu mér tölvupósta og tóku eindregið undir það sem ég var að segja en óskuðu líka nær allar nafnleyndar .	konur sem voru múhameðstrúar sendu mér tölvupósta og tóku eindregið undir það sem ég var að segja en óskuðu líka nær allar nafnleyndar	O C O O O O O C O C O O O O O C O C C O O O O	konur sem voru múhameðstrúar mér tölvupósta og sendu eindregið undir það tóku sem ég var segja að en líka nær allar óskuðu nafnleyndar	O O C O O O O F O O O F O O C F O O O O O F O
23	Það er þekkt fyrirbæri að þegar flugfélag kemur með nýjan áfangastað á markaðinn verður aukning í farþegafjölda um kannski 10 til 15 prósent .	það er þekkt fyrirbæri að þegar flugfélag kemur með nýjan áfangastað á markaðinn verður aukning í farþegafjölda um kannski 10 til 15 prósent	O C O O O O C O O O O O O O O O O C O O O O O	það er þekkt fyrirbæri að þegar flugfélag kemur með nýjan áfangastað á markaðinn verður aukning í farþegafjölda um kannski 10 til 15 prósent	O C O O O O O C O O O O O C O O O O O O O O O
24	Guðmundur segir að þegar illa fer eigi vagnstjórinn að taka stjórn á vettvangi , en það hafi augljóslega ekki verið hægt í dag .	guðmundur segir að þegar illa fer eigi vagnstjórinn að taka stjórn á vettvangi en það hafi augljóslega ekki verið hægt í dag	O C O O C O O O C O C O O O O C O O C O O O	guðmundur segir að þegar fer illa eigi vagnstjórinn taka að stjórn á vettvangi en það augljóslega ekki hægt í dag verið hafi	O C O O F O C O F O O O O O O O O O O O F F
25	LeBron James og Savannah Brinson eiga þrjú börn saman , tvo eldri stráka og svo litla stelpu sem er augljóslega augasteinn pabba síns .	lebron james og savannah brinson eiga þrjú börn saman tvo eldri stráka og svo litla stelpu sem er augljóslega augasteinn pabba síns	O O O O O C O O O O O O O O O O O C O O O O	lebron james og savannah brinson þrjú börn saman tvo eldri eiga stráka og svo litla stelpu sem er augljóslega augasteinn pabba síns	O O O O O O O O O O F O O O O O O C O O O O
26	Niðurstaða skýrslunnar er sú að notkun jarðefnaeldneytis í samgöngum á landi í Bretlandi sé að nálgast sögulegt hámark og muni síðan dvína hratt .	niðurstaða skýrslunnar er sú að notkun jarðefnaeldneytis í samgöngum á landi í bretlandi sé að nálgast sögulegt hámark og muni síðan dvína hratt	O O C O O O O O O O O O O C O C O O O C O C O	niðurstaða skýrslunnar sú er að notkun jarðefnaeldneytis í samgöngum á landi í bretlandi sé að nálgast sögulegt hámark og muni síðan hratt dvína	O O O F O O O O O O O O O C O C O O O C O O F
27	Búist er við því að Mkhitaryan verði frá í 10 daga sem útilokar hann frá þátttöku í Manchester-slagnum um næstu helgi .	búist er við því að mkhitaryan verði frá í 10 daga sem útilokar hann frá þátttöku í manchester-slagnum um næstu helgi	C C O O O O C O O O O O C O O O O O O O O	við búist því er að mkhitaryan verði frá í 10 daga sem hann frá þátttöku útilokar í manchester-slagnum um næstu helgi	O F O F O O C O O O O O O O O F O O O O O
28	Út úr þeirri úttekt komu fullt af ábendingum , og ein af þeim var að láta heiti mannauðsdeildarinnar endurspegla betur áherslurnar í jafnréttismálunum .	út úr þeirri úttekt komu fullt af ábendingum og ein af þeim var að láta heiti mannauðsdeildarinnar endurspegla betur áherslurnar í jafnréttismálunum	O O O O C O O O O O O O C O C O O C O O O O	út úr þeirri úttekt komu fullt af ábendingum og var ein af þeim að láta heiti mannauðsdeildarinnar endurspegla betur áherslurnar í jafnréttismálunum	O O O O C O O O O F O O O O C O O C O O O O
29	Hollywood-stjarnan og Íslandsvinurinn Ben Stiller er greinilega mikill aðdáandi Ben Stiller ef marka má tíst hans frá því fyrr í dag .	hollywood-stjarnan og íslandsvinurinn ben stiller er greinilega mikill aðdáandi ben stiller ef marka má tíst hans frá því fyrr í dag	O O O O O C O O O O O O C C O O O O O O O	hollywood-stjarnan og íslandsvinurinn ben stiller greinilega mikill aðdáandi er ben stiller ef marka tíst hans frá því má fyrr í dag	O O O O O O O O F O O O C O O O O F O O O
30	Eru þá skuldir vegna lífeyrisskuldbindinga ekki taldar með .	eru þá skuldir vegna lífeyrisskuldbindinga ekki taldar með	C O O O O O C O	þá skuldir vegna lífeyrisskuldbindinga taldar ekki eru með	O O O O F O F O
31	Hvað er besta jólagjöf sem þú hefur fengið ?	hvað er besta jólagjöf sem þú hefur fengið	O C O O O O C C	hvað er besta jólagjöf sem þú hefur fengið	O C O O O O C C
32	Hann reyndist einnig hafa fíkniefni í fórum sínum .	hann reyndist einnig hafa fíkniefni í fórum sínum	O C O O O O O C	hann reyndist einnig hafa fíkniefni í fórum sínum	O C O C O O O O
33	Hugur okkar er hjá fjölskyldu stúlkunnar .	hugur okkar er hjá fjölskyldu stúlkunnar	O O C O O O	hugur okkar er hjá fjölskyldu stúlkunnar	O O C O O O
34	En í praxis þá er staðan þessi .	en í praxis þá er staðan þessi	O O O O C O O	en í praxis þá staðan þessi er	O O O O O O F
35	Árið eftir komu fyrstu tvær plötur Ingibjargar út .	árið eftir komu fyrstu tvær plötur ingibjargar út	O O C O O O O O	árið komu eftir fyrstu tvær plötur ingibjargar út	O F O O O O O O
36	Við þurfum að vita hverjir sækja okkur heim .	við þurfum að vita hverjir sækja okkur heim	O O C C O C O O	við þurfum að vita hverjir sækja okkur heim	O C O C O C O O
37	Þessi mynd er úr ferð Fjallaleiðsögumanna yfir Vatnajökul .	þessi mynd er úr ferð fjallaleiðsögumanna yfir vatnajökul	O O C O O O O O	þessi mynd úr ferð fjallaleiðsögumanna yfir vatnajökul er	O O O O O O O F
38	Uppljóstranir Snowdens eru stórflóð frekar en leki .	uppljóstranir snowdens eru stórflóð frekar en leki	O O C O O O O	uppljóstranir snowdens stórflóð eru frekar en leki	O O O F O O O
39	Það er það sem við gagnrýnum mjög .	það er það sem við gagnrýnum mjög	O C O O O C O	það það er sem við mjög gagnrýnum	O O F O O O F
40	Það er greinilegt að Guðmundur er að ná því besta fram í Aroni , sagði Stefán um leikinn í gær .	það er greinilegt að guðmundur er að ná því besta fram í aroni sagði stefán um leikinn í gær	O C O O O C O C O O O O O C O O O O O	það er greinilegt að guðmundur að því er ná besta fram í aroni sagði stefán um leikinn í gær	O C O O O O O F F O O O O C O O O O O
41	Þannig eru sigurvegararnir hvattir til að sleppa því að lesa upp langa lista og segja eitthvað sem mun hreyfa við áhorfendum .	þannig eru sigurvegararnir hvattir til að sleppa því að lesa upp langa lista og segja eitthvað sem mun hreyfa við áhorfendum	O C O C O O O C O O C O O O C O O C C O O	þannig sigurvegararnir og hvattir til sleppa að því að upp langa lista lesa eru segja eitthvað mun sem hreyfa við áhorfendum	O O O C O F O O O O O O F F C O F O C O O
42	Hiti og þurrkur í Ameríku og Evrópu gæti haldist í hendur við óþurrkasumarið sem verið hefur á sunnan- og vestanverðu Íslandi .	hiti og þurrkur í ameríku og evrópu gæti haldist í hendur við óþurrkasumarið sem verið hefur á sunnan- og vestanverðu íslandi	O O O O O O O C C O O O O O C C O O O O O	hiti og þurrkur í ameríku og evrópu gæti í hendur haldist við óþurrkasumarið verið sem hefur á sunnan- og vestanverðu íslandi	O O O O O O O C O O F O O F O C O O O O O
43	Þetta er harður dómur yfir framferði íslensku fjármálastofnanna og fjármálamannanna sem voru mestir og bestir í heimi — fyrir hrun .	þetta er harður dómur yfir framferði íslensku fjármálastofnanna og fjármálamannanna sem voru mestir og bestir í heimi — fyrir hrun	O C O O O O O O O O O C O O O O O O O O	þetta harður dómur er yfir framferði íslensku fjármálastofnanna og fjármálamannanna sem voru mestir og bestir í heimi — fyrir hrun	O O O F O O O O O O O C O O O O O O O O
44	Og það sést reyndar vel á Facebook-síðum Páls og Ásmundar Friðrikssonar , sem skipaði annað sætið á lista flokksins .	og það sést reyndar vel á facebook-síðum páls og ásmundar friðrikssonar sem skipaði annað sætið á lista flokksins	O O C O O O O O O O O O C O O O O O	og það reyndar sést vel á facebook-síðum páls og ásmundar friðrikssonar sem skipaði annað sætið á lista flokksins	O O O F O O O O O O O O C O O O O O
45	Ástæðan var ósætti í samningi vegna ímyndarréttar þeirra og launa vegna vinnu á vegum sambandsins í auglýsingum og fleiru þess háttar .	ástæðan var ósætti í samningi vegna ímyndarréttar þeirra og launa vegna vinnu á vegum sambandsins í auglýsingum og fleiru þess háttar	O C O O O O O O O O O O O O O O O O O O O	ástæðan ósætti í samningi vegna ímyndarréttar þeirra og launa vegna vinnu á vegum sambandsins í auglýsingum og fleiru þess háttar var	O O O O O O O O O O O O O O O O O O O O F
46	Síðan þá hefur verkefnið verið á miklu flugi því mikill hugur er í forsvarsmönnum Showtime að koma þessu á koppinn .	síðan þá hefur verkefnið verið á miklu flugi því mikill hugur er í forsvarsmönnum showtime að koma þessu á koppinn	O O C O C O O O O O O C O O O O C O O O	síðan þá hefur verkefnið verið á miklu flugi því mikill hugur koma er í forsvarsmönnum showtime að þessu á koppinn	O O C O C O O O O O O F F O O O O O O O
47	Mattis sagðist jafnframt hafa áhyggjur af framgangi Rússa á nokkrum vígstöðvum , meðal annars í sýrlensku borginni Aleppo og í Úkraínu .	mattis sagðist jafnframt hafa áhyggjur af framgangi rússa á nokkrum vígstöðvum meðal annars í sýrlensku borginni aleppo og í úkraínu	O C O C O O O O O O O O O O O O O O O O	mattis sagðist jafnframt áhyggjur af framgangi rússa á nokkrum vígstöðvum meðal annars í sýrlensku borginni aleppo og í úkraínu hafa	O C O O O O O O O O O O O O O O O O O F
48	Hann segir að á þeim sextíu árum sem hann hafi unnið að landgræðslu hafi fólk lært mikið að vinna með náttúrunni .	hann segir að á þeim sextíu árum sem hann hafi unnið að landgræðslu hafi fólk lært mikið að vinna með náttúrunni	O C O O O O O C O C O O O C C O O O C O O	hann segir lært að á þeim sextíu sem hann hafi unnið að landgræðslu árum fólk hafi mikið að vinna með náttúrunni	O C F O O O O O O C C O O O O F O O C O O
49	Minnst sex létu lífið í morgun og 30 særðust þegar loftárásir voru gerðar á skrifstofubyggingu forsetaembættisins í Sanaa , höfuðborg Jemen .	minnst sex létu lífið í morgun og 30 særðust þegar loftárásir voru gerðar á skrifstofubyggingu forsetaembættisins í sanaa höfuðborg jemen	O O C O O O O O C O O C C O O O O O O O	minnst létu sex lífið í morgun og 30 særðust þegar loftárásir á skrifstofubyggingu gerðar forsetaembættisins í sanaa voru höfuðborg jemen	O F O O O O O O C O O O O F O O O F O O
50	Stelpur virðast samkvæmt rannsókninni frekar upplifa álag og verki og vill Hermundur tengja það við veika sjálfsmynd sem aftur má svo tengja við notkun samfélagsmiðla .	stelpur virðast samkvæmt rannsókninni frekar upplifa álag og verki og vill hermundur tengja það við veika sjálfsmynd sem aftur má svo tengja við notkun samfélagsmiðla	O C O O O O C O O O C O C O O O O O O C O C O O O	stelpur virðast samkvæmt rannsókninni frekar upplifa álag og verki og vill hermundur tengja það við veika sjálfsmynd sem aftur má svo við notkun tengja samfélagsmiðla	O C O O O C O O O O C O C O O O O O O C O O O F O
51	Undanfarin ár hefur Abduraimov komið fram með leiðandi hljómsveitum heims , til dæmis Fílharmóníuhljómsveitinni í Los Angeles , Sinfóníuhljómsveitinni í Boston og Gewandhaushljómsveitinni í Leipzig .	undanfarin ár hefur abduraimov komið fram með leiðandi hljómsveitum heims til dæmis fílharmóníuhljómsveitinni í los angeles sinfóníuhljómsveitinni í boston og gewandhaushljómsveitinni í leipzig	O O C O C O O O O O O O O O O O O O O O O O O	undanfarin ár komið hefur abduraimov fram með leiðandi hljómsveitum heims til dæmis fílharmóníuhljómsveitinni í los angeles sinfóníuhljómsveitinni í boston og gewandhaushljómsveitinni í leipzig	O O F F O O O O O O O O O O O O O O O O O O O
52	Samkvæmt Birgittu mun Naomi Colvin , fyrrverandi leiðtogi samtakanna sem áður aðstoðaði lekamanninn Lauri Love við að komast hjá framsali , taka verkefnið að sér .	samkvæmt birgittu mun naomi colvin fyrrverandi leiðtogi samtakanna sem áður aðstoðaði lekamanninn lauri love við að komast hjá framsali taka verkefnið að sér	O O C O O O O O C O O O O O C O O O O O C O O	samkvæmt birgittu naomi colvin fyrrverandi leiðtogi samtakanna verkefnið sem áður aðstoðaði lekamanninn lauri love við að hjá framsali komast að taka sér mun	O O O O O O O O O O C O O O O O O O F O F O F
53	Í fréttatilkynningu frá Reykjavíkurborg í hádeginu kemur fram að frumniðurstöður mælinga Heilbrigðiseftirlits Reykjavíkur sýni að gerlamagn sé undir viðmiðunarmörkum vestan megin við stöðina við Faxaskjól .	í fréttatilkynningu frá reykjavíkurborg í hádeginu kemur fram að frumniðurstöður mælinga heilbrigðiseftirlits reykjavíkur sýni að gerlamagn sé undir viðmiðunarmörkum vestan megin við stöðina við faxaskjól	O O O O O O C O O O O O O C O O C O O O O O O O O	í fréttatilkynningu frá reykjavíkurborg í hádeginu kemur fram að frumniðurstöður mælinga heilbrigðiseftirlits reykjavíkur sýni að gerlamagn sé undir viðmiðunarmörkum vestan megin við stöðina við faxaskjól	O O O O O O C O O O O O O C O O C O O O O O O O O
54	Lykt sem barst frá húsinu gaf lögreglu tilefni til að skoða hvað þær væri að finna og leyndust 16 kannabisplöntur af öllum stærðum fyrir innan .	lykt sem barst frá húsinu gaf lögreglu tilefni til að skoða hvað þær væri að finna og leyndust 16 kannabisplöntur af öllum stærðum fyrir innan	O C O O O O C O O O O C O O C O C C O O O O O O O	lykt sem barst frá húsinu gaf lögreglu tilefni til skoða að hvað þær væri að finna og 16 kannabisplöntur af öllum stærðum fyrir leyndust innan	O O C O O C O O O F O O O C O C O O O O O O O F O
55	Wilbek hefur unnið hjá sambandinu í 20 ár , lengst af sem landsliðsþjálfari , fyrst með kvennalandsliðið og síðar með karlana um níu ára skeið .	wilbek hefur unnið hjá sambandinu í 20 ár lengst af sem landsliðsþjálfari fyrst með kvennalandsliðið og síðar með karlana um níu ára skeið	O C C O O O O O O O O O O O O O O O O O O O O	wilbek hjá sambandinu í 20 ár lengst unnið af sem landsliðsþjálfari fyrst með kvennalandsliðið og síðar hefur með karlana um níu ára skeið	O O O O O O O F O O O O O O O O F O O O O O O
56	Miðflokkur Sigmundar Davíðs Gunnlaugssonar er síðan með vind í seglinn en flokkurinn mælist með 11,0 prósenta fylgi á meðan Framsóknarflokkurinn mælist með 5,9 prósenta fylgi .	miðflokkur sigmundar davíðs gunnlaugssonar er síðan með vind í seglinn en flokkurinn mælist með 11,0 prósenta fylgi á meðan framsóknarflokkurinn mælist með 5,9 prósenta fylgi	O O O O C O O O O O O O C O O O O O O O C O O O O	miðflokkur sigmundar er davíðs gunnlaugssonar síðan með vind í seglinn en flokkurinn mælist með 11,0 prósenta fylgi á mælist meðan framsóknarflokkurinn með 5,9 prósenta fylgi	O O F O O O O O O O O O C O O O O O F O O O O O O
57	Nokkru fyrir miðnætti hafði tekist að leiða nóg rafmagn frá Selfossi og Þorlákshöfn inn á kerfið til að tryggja öllum straum sem þurftu yfir blánóttina .	nokkru fyrir miðnætti hafði tekist að leiða nóg rafmagn frá selfossi og þorlákshöfn inn á kerfið til að tryggja öllum straum sem þurftu yfir blánóttina	O O O C C O C O O O O O O O O O O O C O O O O O C	nokkru fyrir miðnætti hafði tekist leiða að nóg rafmagn frá selfossi og þorlákshöfn inn á kerfið til að öllum straum tryggja sem þurftu yfir blánóttina	O O O C C F O O O O O O O O O O O O O O F O C O O
58	45 ára starfsafmæli Íslenska dansflokksins var fagnað með pompi og prakt á mánudaginn og voru rúmlega 100 velunnarar dansflokksins mættir til að fagna þessum áfanga .	45 ára starfsafmæli íslenska dansflokksins var fagnað með pompi og prakt á mánudaginn og voru rúmlega 100 velunnarar dansflokksins mættir til að fagna þessum áfanga	O O O O O C C O O O O O O O C O O O O C O O C O O	45 ára starfsafmæli íslenska dansflokksins með pompi og prakt á mánudaginn fagnað og var voru mættir rúmlega 100 velunnarar dansflokksins til að fagna þessum áfanga	O O O O O O O O O O O F O F C F O O O O O O C O O
59	Ég fæ reyndar ekki einn sveittan í bréfi — en ég fæ hráefnin sem ég get svo eldað sjálfur og leyft strákunum að smakka .	ég fæ reyndar ekki einn sveittan í bréfi — en ég fæ hráefnin sem ég get svo eldað sjálfur og leyft strákunum að smakka	O C O O O O O O O O O C O O O C O C O O C O O C	ég reyndar ekki fæ einn sveittan í bréfi — en ég fæ hráefnin sem ég eldað get svo sjálfur og leyft strákunum að smakka	O O O F O O O O O O O C O O O F F O O O C O O C
60	Ekki stendur til að birta umrætt myndband opinberlega að sögn lögreglustjórans .	ekki stendur til að birta umrætt myndband opinberlega að sögn lögreglustjórans	O C O O O O O C O O O	ekki stendur til að birta umrætt myndband opinberlega að sögn lögreglustjórans	O C O O C O O O O O O
61	Bjarkey sagði í Kastljósi í gær að ábyrgðin lægi hjá kaupanda .	bjarkey sagði í kastljósi í gær að ábyrgðin lægi hjá kaupanda	O C O O O O O O C O O	bjarkey sagði í kastljósi í gær að ábyrgðin lægi hjá kaupanda	O C O O O O O O C O O
62	Starfslaun fá 43 einstaklingar , 15 konur og 28 karlar .	starfslaun fá 43 einstaklingar 15 konur og 28 karlar	O C O O O O O O O	starfslaun 43 einstaklingar 15 konur og 28 karlar fá	O O O O O O O O F
63	Í Skotlandi fórust fjórtán í slysi með Super Puma árið 2009 .	í skotlandi fórust fjórtán í slysi með super puma árið 2009	O O C O O O O O O O O	í skotlandi fórust fjórtán í slysi með super puma árið 2009	O O C O O O O O O O O
64	Miah veit enn ekki hvers vegna honum var vísað úr fluginu .	miah veit enn ekki hvers vegna honum var vísað úr fluginu	O C O O O O O C O O C	miah enn ekki veit hvers vegna honum var vísað úr fluginu	O O O F O O O C C O O
65	Myndband af þessum tveimur ótrúlegu körfum má sjá hér fyrir neðan .	myndband af þessum tveimur ótrúlegu körfum má sjá hér fyrir neðan	O O O O O O C O O O C	myndband af þessum tveimur ótrúlegu körfum hér sjá fyrir má neðan	O O O O O O O C O F O
66	Kristófer hefur verið frábær en við þurfum meiri breidd þar .	kristófer hefur verið frábær en við þurfum meiri breidd þar	O C C O O O C O O O	kristófer frábær en verið hefur við meiri breidd þurfum þar	O O O F F O O O F O
67	Ragnar segir heimahjúkrun sennilega vera þjóðhagslega hagkvæmustu lausn sem við höfum .	ragnar segir heimahjúkrun sennilega vera þjóðhagslega hagkvæmustu lausn sem við höfum	O C O O C O O O O O C	ragnar heimahjúkrun sennilega þjóðhagslega segir vera hagkvæmustu lausn sem höfum við	O O O O F F O O O F O
68	Á síðasta ári fæddust 4.034 hér á landi en 2.309 létust .	á síðasta ári fæddust 4.034 hér á landi en 2.309 létust	O O O C O O O O O O C	á síðasta ári 4.034 hér fæddust á landi en 2.309 létust	O O O O O F O O O O C
69	Ég braut öll rifbeinin í honum því ég hnoðaði svo fast .	ég braut öll rifbeinin í honum því ég hnoðaði svo fast	O C O O O O O O C O O	ég öll rifbeinin í honum braut því ég hnoðaði svo fast	O O O O O F O O C O O
70	Sýknað var í öllum vegamestu atriðunum , meðal annars þeim sem snéru að því hvers vegna Icesave reikningar Landsbankans voru ekki fluttir í dótturfélag .	sýknað var í öllum vegamestu atriðunum meðal annars þeim sem snéru að því hvers vegna icesave reikningar landsbankans voru ekki fluttir í dótturfélag	C C O O O O O O O O C O O O O O O O C O C O O	sýknað í öllum vegamestu atriðunum meðal annars þeim var sem að því snéru hvers vegna icesave reikningar landsbankans voru ekki fluttir í dótturfélag	C O O O O O O O F O O O F O O O O O C O C O O
